Name,Type1,Type2,Biome,Dawn,Day,Dusk,Night
Glalie,Ice,Ice,,20,20,20,20
Bronzong,Steel,Psychic,,20,20,20,20
Glaceon,Ice,Ice,,1,1,1,1
Froslass,Ice,Ice,,2,2,2,2
Beartic,Ice,Ice,,20,20,20,20
Frosmoth,Ice,Bug,,10,10,10,10
Houndstone,Ghost,Ghost,,10,10,10,10
Cetitan,Ice,Ice,,10,10,10,10
Golduck,Water,Water,,20,20,20,20
Slowpoke,Water,Psychic,,60,60,60,60
Slowbro,Water,Psychic,,15,15,15,15
Scyther,Bug,Flying,,30,30,30,30
Gyarados,Water,Flying,,150,150,150,150
Vaporeon,Water,Water,,1,1,1,1
Dratini,Dragon,Dragon,,40,40,40,40
Dragonair,Dragon,Dragon,,10,10,10,10
Azumarill,Water,Fairy,,30,30,30,30
Swalot (Violet),Poison,Poison,,30,30,30,30
Altaria,Dragon,Flying,,20,20,20,20
Tropius,Grass,Flying,,30,30,30,30
Staraptor,Normal,Flying,,10,10,10,0
Mismagius (Violet),Ghost,Ghost,,0,0,0,3
Skuntank (Scarlet),Poison,Dark,,30,30,30,30
Toxicroak,Poison,Fighting,,30,30,30,30
Sliggoo,Dragon,Dragon,,50,50,50,50
Bergmite,Ice,Ice,,150,150,150,150
Avalugg,Ice,Ice,,100,100,100,100
Drednaw,Water,Rock,,20,20,20,20
Drakloak (Violet),Dragon,Ghost,,25,25,25,25
Flamigo,Flying,Fighting,,60,60,60,60
Veluza,Water,Psychic,,30,30,30,30
Dondozo,Water,Water,,30,30,30,30
Tatsugiri,Dragon,Water,,20,20,20,20
Tatsugiri,Dragon,Water,,20,20,20,20
Tatsugiri,Dragon,Water,,20,20,20,20
Golduck,Water,Water,,20,20,20,20
Slowpoke,Water,Psychic,,30,30,30,30
Slowbro,Water,Psychic,,15,15,15,15
Vaporeon,Water,Water,,1,1,1,1
Azumarill,Water,Fairy,,30,30,30,30
Floatzel,Water,Water,,10,10,10,10
Toxicroak,Poison,Fighting,,20,20,20,20
Drakloak (Violet),Dragon,Ghost,,5,5,5,5
Bellibolt,Electric,Electric,,5,5,5,5
Cloyster,Water,Ice,,10,10,10,10
Gyarados,Water,Flying,,5,5,5,5
Floatzel,Water,Water,,40,40,40,40
Skrelp (Scarlet),Poison,Water,,60,60,60,60
Dragalge (Scarlet),Poison,Water,,20,20,20,20
Clawitzer (Violet),Water,Water,,20,20,20,20
Kilowattrel,Electric,Flying,,30,30,30,30
Veluza,Water,Psychic,,20,20,20,20
Honchkrow,Dark,Flying,,0,0,20,20
Gogoat,Grass,Grass,,30,30,30,30
Hawlucha,Fighting,Flying,,60,60,60,60
Copperajah,Steel,Steel,,20,20,20,20
Lokix,Bug,Dark,,30,30,30,30
Naclstack,Rock,Rock,,60,60,60,60
Slowpoke,Water,Psychic,,30,30,30,30
Slowbro,Water,Psychic,,25,25,25,25
Floatzel,Water,Water,,10,10,10,10
Gastrodon,Water,Ground,,20,20,20,20
Palossand,Ghost,Ground,,20,20,20,20
Pincurchin,Electric,Electric,,10,10,10,10
Naclstack,Rock,Rock,,20,20,20,20
Kilowattrel,Electric,Flying,,30,30,30,30
Wugtrio,Water,Water,,20,20,20,20
Bronzong,Steel,Psychic,,20,20,20,20
Mabosstiff,Dark,Dark,,30,30,30,30
Houndstone,Ghost,Ghost,,5,5,5,5
