Name,Type1,Type2,Biome,Dawn,Day,Dusk,Night
Tauros (Combat Breed),Fighting,Fighting,,40,40,40,40
Skiploom,Grass,Flying,,40,40,40,40
Murkrow,Dark,Flying,,0,0,40,40
Dunsparce,Normal,Normal,,2,2,2,2
Gulpin (Violet),Poison,Poison,,20,20,20,20
Deerling,Normal,Grass,,70,70,70,70
Litleo,Fire,Normal,,60,60,60,60
Steenee,Grass,Grass,,10,10,10,10
Rookidee,Flying,Flying,,30,30,30,30
Corvisquire,Flying,Flying,,20,20,20,20
Lechonk,Normal,Normal,,80,80,80,80
Oinkologne (Male),Normal,Normal,,20,20,20,20
Oinkologne (Female),Normal,Normal,,20,20,20,20
Pawmo,Electric,Fighting,,10,10,10,10
Toedscool,Ground,Grass,,2,2,2,2
Pikachu,Electric,Electric,,10,10,10,10
Venonat,Bug,Poison,,40,40,40,40
Murkrow,Dark,Flying,,0,0,20,20
Pineco,Bug,Bug,,60,60,60,60
Dunsparce,Normal,Normal,,4,4,4,4
Teddiursa,Normal,Normal,,60,60,60,60
Bounsweet,Grass,Grass,,60,60,60,60
Steenee,Grass,Grass,,30,30,30,30
Komala,Normal,Normal,,30,30,30,30
Applin,Grass,Dragon,,10,10,10,10
Lechonk,Normal,Normal,,60,60,60,60
Oinkologne (Male),Normal,Normal,,20,20,20,20
Oinkologne (Female),Normal,Normal,,20,20,20,20
Spidops,Bug,Bug,,30,30,30,30
Shroodle,Poison,Normal,,20,20,20,20
Charcadet,Fire,Fire,,1,1,1,1
Toedscool,Ground,Grass,,10,10,10,10
Murkrow,Dark,Flying,,0,0,60,60
Shuppet,Ghost,Ghost,,0,0,0,70
Gulpin (Violet),Poison,Poison,,60,60,60,60
Drifloon (Scarlet),Ghost,Flying,,0,0,40,40
Oricorio (Baile Style),Fire,Flying,,40,40,40,40
Rookidee,Flying,Flying,,30,30,30,30
Corvisquire,Flying,Flying,,30,30,30,30
Tandemaus,Normal,Normal,,10,10,10,10
Squawkabilly,Normal,Flying,,20,20,20,20
Squawkabilly,Normal,Flying,,15,15,15,15
Squawkabilly,Normal,Flying,,10,10,10,10
Squawkabilly,Normal,Flying,,5,5,5,5
Gastly,Ghost,Poison,,0,0,0,50
Misdreavus (Violet),Ghost,Ghost,,0,0,0,15
Swablu,Normal,Flying,,70,70,70,70
Drifloon (Scarlet),Ghost,Flying,,0,0,30,30
Rufflet,Normal,Flying,,25,25,25,25
Litleo,Fire,Normal,,30,30,30,30
Skiddo,Grass,Grass,,30,30,30,30
Rockruff (Standard),Rock,Rock,,40,40,40,40
Rockruff (Own Tempo),Rock,Rock,,2,2,2,2
Mudbray,Ground,Ground,,60,60,60,60
Rookidee,Flying,Flying,,30,30,30,30
Corvisquire,Flying,Flying,,30,30,30,30
Flittle,Psychic,Psychic,,60,60,60,60
Pawmo,Electric,Fighting,,15,15,15,15
Charcadet,Fire,Fire,,1,1,1,1
Psyduck,Water,Water,,60,60,60,60
Slowpoke,Water,Psychic,,30,30,30,30
Magikarp,Water,Water,,20,20,20,20
Marill,Water,Fairy,,60,60,60,60
Buizel,Water,Water,,20,20,20,20
Basculin (Red-Striped),Water,Water,,60,60,60,60
Basculin (Blue-Striped),Water,Water,,60,60,60,60
Chewtle,Water,Water,,10,10,10,10
Drednaw,Water,Rock,,10,10,10,10
Arrokuda,Water,Water,,40,40,40,40
Dreepy (Violet),Dragon,Ghost,,5,5,5,5
Tadbulb,Electric,Electric,,50,50,50,50
Shellder,Water,Water,,60,60,60,60
Magikarp,Water,Water,,60,60,60,60
Gyarados,Water,Flying,,5,5,5,5
Qwilfish,Water,Poison,,30,30,30,30
Luvdisc,Water,Water,,60,60,60,60
Buizel,Water,Water,,20,20,20,20
Clauncher (Violet),Water,Water,,60,60,60,60
Mareanie,Poison,Water,,60,60,60,60
Arrokuda,Water,Water,,60,60,60,60
Finizen,Water,Water,,30,30,30,30
Wattrel,Electric,Flying,,60,60,60,60
Makuhita,Fighting,Fighting,,30,30,30,30
Litleo,Fire,Normal,,50,50,50,50
Skiddo,Grass,Grass,,50,50,50,50
Yungoos,Normal,Normal,,20,20,20,20
Gumshoos,Normal,Normal,,30,30,30,30
Rookidee,Flying,Flying,,30,30,30,30
Corvisquire,Flying,Flying,,30,30,30,30
Nacli,Rock,Rock,,60,60,60,60
Charcadet,Fire,Fire,,1,1,1,1
Slowpoke,Water,Psychic,,30,30,30,30
Shellder,Water,Water,,60,60,60,60
Buizel,Water,Water,,20,20,20,20
Shellos,Water,Ground,,60,60,60,60
Crabrawler,Fighting,Fighting,,30,30,30,30
Mareanie,Poison,Water,,80,80,80,80
Sandygast,Ghost,Ground,,60,60,60,60
Pincurchin,Electric,Electric,,10,10,10,10
Wiglett,Water,Water,,60,60,60,60
Wattrel,Electric,Flying,,60,60,60,60
Nacli,Rock,Rock,,15,15,15,15
