Name,Type1,Type2,Biome,Dawn,Day,Dusk,Night
Meowth,Normal,Normal,,30,30,30,30
Magnemite,Electric,Steel,,50,50,50,50
Murkrow,Dark,Flying,,0,0,40,40
Dunsparce,Normal,Normal,,2,2,2,2
Rookidee,Flying,Flying,,30,30,30,30
Corvisquire,Flying,Flying,,20,20,20,20
Pawmo,Electric,Fighting,,10,10,10,10
Toedscool,Ground,Grass,,2,2,2,2
Meowth,Normal,Normal,,60,60,60,60
Magnemite,Electric,Steel,,20,20,20,20
Voltorb,Electric,Electric,,30,30,30,30
Murkrow,Dark,Flying,,0,0,60,60
Shuppet,Ghost,Ghost,,0,0,0,70
Drifloon (Scarlet),Ghost,Flying,,0,0,40,40
Drifblim (Scarlet),Ghost,Flying,,0,0,20,20
Gothita,Psychic,Psychic,,30,30,30,30
Rookidee,Flying,Flying,,30,30,30,30
Corvisquire,Flying,Flying,,30,30,30,30
Sinistea,Ghost,Ghost,,30,30,30,30
Tandemaus,Normal,Normal,,10,10,10,10
Dachsbun,Fairy,Fairy,,30,30,30,30
Squawkabilly,Normal,Flying,,20,20,20,20
Squawkabilly,Normal,Flying,,15,15,15,15
Squawkabilly,Normal,Flying,,10,10,10,10
Squawkabilly,Normal,Flying,,5,5,5,5
Varoom,Steel,Poison,,10,10,10,10
Psyduck,Water,Water,,60,60,60,60
Magikarp,Water,Water,,60,60,60,60
Misdreavus (Violet),Ghost,Ghost,,0,0,0,60
Barboach,Water,Ground,,60,60,60,60
Basculin (Red-Striped),Water,Water,,60,60,60,60
Basculin (Blue-Striped),Water,Water,,60,60,60,60
Goomy,Dragon,Dragon,,40,40,40,40
Chewtle,Water,Water,,10,10,10,10
Drednaw,Water,Rock,,10,10,10,10
Dreepy (Violet),Dragon,Ghost,,15,15,15,15
Flamigo,Flying,Fighting,,10,10,10,10
Clodsire,Poison,Ground,,30,30,30,30
Psyduck,Water,Water,,60,60,60,60
Magikarp,Water,Water,,20,20,20,20
Buizel,Water,Water,,20,20,20,20
Floatzel,Water,Water,,10,10,10,10
Basculin (Red-Striped),Water,Water,,60,60,60,60
Basculin (Blue-Striped),Water,Water,,60,60,60,60
Pawniard,Dark,Steel,,60,60,60,60
Chewtle,Water,Water,,10,10,10,10
Drednaw,Water,Rock,,10,10,10,10
Arrokuda,Water,Water,,40,40,40,40
Barraskewda,Water,Water,,20,20,20,20
Dreepy (Violet),Dragon,Ghost,,5,5,5,5
Tadbulb,Electric,Electric,,50,50,50,50
Flamigo,Flying,Fighting,,12,12,12,12
Shellder,Water,Water,,60,60,60,60
Magikarp,Water,Water,,60,60,60,60
Gyarados,Water,Flying,,5,5,5,5
Qwilfish,Water,Poison,,30,30,30,30
Luvdisc,Water,Water,,60,60,60,60
Buizel,Water,Water,,20,20,20,20
Clauncher (Violet),Water,Water,,60,60,60,60
Arrokuda,Water,Water,,60,60,60,60
Barraskewda,Water,Water,,20,20,20,20
Finizen,Water,Water,,30,30,30,30
Wattrel,Electric,Flying,,60,60,60,60
Diglett,Ground,Ground,,20,20,20,20
Dugtrio,Ground,Ground,,20,20,20,20
Umbreon,Dark,Dark,,0,0,0,1
Dunsparce,Normal,Normal,,5,5,5,5
Larvitar (Scarlet),Rock,Ground,,10,10,10,10
Makuhita,Fighting,Fighting,,20,20,20,20
Hariyama,Fighting,Fighting,,10,10,10,10
Sableye,Dark,Ghost,,20,20,20,20
Bagon (Violet),Dragon,Dragon,,10,10,10,10
Gabite,Dragon,Ground,,10,10,10,10
Deino (Scarlet),Dark,Dragon,,30,30,30,30
Yungoos,Normal,Normal,,60,60,60,60
Gumshoos,Normal,Normal,,30,30,30,30
Salandit,Poison,Fire,,60,60,60,60
Salazzle,Poison,Fire,,5,5,5,5
Rolycoly,Rock,Rock,,20,20,20,20
Charcadet,Fire,Fire,,1,1,1,1
Glimmet,Rock,Poison,,1,1,1,1
Diglett,Ground,Ground,,40,40,40,40
Dugtrio,Ground,Ground,,40,40,40,40
Meowth,Normal,Normal,,15,15,15,15
Growlithe,Fire,Fire,,10,10,10,10
Gastly,Ghost,Poison,,0,0,0,30
Voltorb,Electric,Electric,,30,30,30,30
Larvitar (Scarlet),Rock,Ground,,3,3,3,3
Makuhita,Fighting,Fighting,,10,10,10,10
Hariyama,Fighting,Fighting,,40,40,40,40
Torkoal,Fire,Fire,,10,10,10,10
Bagon (Violet),Dragon,Dragon,,3,3,3,3
Rufflet,Normal,Flying,,20,20,20,20
Rolycoly,Rock,Rock,,60,60,60,60
Carkol,Rock,Fire,,60,60,60,60
Silicobra,Ground,Ground,,10,10,10,10
Cufant,Steel,Steel,,60,60,60,60
Bramblin,Grass,Ghost,,60,60,60,60
Varoom,Steel,Poison,,15,15,15,15
Orthworm,Steel,Steel,,30,30,30,30
