Name,Type1,Type2,Biome,Dawn,Day,Dusk,Night
Magnemite,Electric,Steel,,50,50,50,50
Chansey,Normal,Normal,,1,1,1,1
Tauros (Combat Breed),Fighting,Fighting,,40,40,40,40
Tauros (Blaze Breed) (Scarlet),Fighting,Fire,,3,3,3,3
Tauros (Aqua Breed) (Violet),Fighting,Water,,3,3,3,3
Marill,Water,Fairy,,80,80,80,80
Skiploom,Grass,Flying,,40,40,40,40
Murkrow,Dark,Flying,,0,0,40,40
Dunsparce,Normal,Normal,,2,2,2,2
Deerling,Normal,Grass,,70,70,70,70
Rookidee,Flying,Flying,,30,30,30,30
Corvisquire,Flying,Flying,,20,20,20,20
Oinkologne (Male),Normal,Normal,,20,20,20,20
Oinkologne (Female),Normal,Normal,,20,20,20,20
Cyclizar,Dragon,Normal,,15,15,15,15
Pawmo,Electric,Fighting,,10,10,10,10
Wattrel,Electric,Flying,,110,110,110,110
Toedscool,Ground,Grass,,2,2,2,2
Venonat,Bug,Poison,,40,40,40,40
Murkrow,Dark,Flying,,0,0,20,20
Pineco,Bug,Bug,,60,60,60,60
Dunsparce,Normal,Normal,,4,4,4,4
Komala,Normal,Normal,,30,30,30,30
Applin,Grass,Dragon,,10,10,10,10
Oinkologne (Male),Normal,Normal,,20,20,20,20
Oinkologne (Female),Normal,Normal,,20,20,20,20
Spidops,Bug,Bug,,30,30,30,30
Cyclizar,Dragon,Normal,,15,15,15,15
Shroodle,Poison,Normal,,20,20,20,20
Charcadet,Fire,Fire,,1,1,1,1
Toedscool,Ground,Grass,,10,10,10,10
Magnemite,Electric,Steel,,20,20,20,20
Grimer,Poison,Poison,,80,80,80,80
Murkrow,Dark,Flying,,0,0,60,60
Kirlia,Psychic,Fairy,,50,50,50,0
Shuppet,Ghost,Ghost,,0,0,0,70
Drifloon (Scarlet),Ghost,Flying,,0,0,40,40
Rotom,Electric,Ghost,,10,10,10,10
Rookidee,Flying,Flying,,30,30,30,30
Corvisquire,Flying,Flying,,30,30,30,30
Tandemaus,Normal,Normal,,10,10,10,10
Squawkabilly,Normal,Flying,,20,20,20,20
Squawkabilly,Normal,Flying,,15,15,15,15
Squawkabilly,Normal,Flying,,10,10,10,10
Squawkabilly,Normal,Flying,,5,5,5,5
Psyduck,Water,Water,,60,60,60,60
Slowpoke,Water,Psychic,,30,30,30,30
Magikarp,Water,Water,,20,20,20,20
Marill,Water,Fairy,,60,60,60,60
Buizel,Water,Water,,20,20,20,20
Basculin (Red-Striped),Water,Water,,60,60,60,60
Basculin (Blue-Striped),Water,Water,,60,60,60,60
Chewtle,Water,Water,,10,10,10,10
Drednaw,Water,Rock,,10,10,10,10
Arrokuda,Water,Water,,40,40,40,40
Dreepy (Violet),Dragon,Ghost,,5,5,5,5
Tadbulb,Electric,Electric,,50,50,50,50
Cyclizar,Dragon,Normal,,15,15,15,15
Shellder,Water,Water,,60,60,60,60
Magikarp,Water,Water,,60,60,60,60
Gyarados,Water,Flying,,5,5,5,5
Qwilfish,Water,Poison,,30,30,30,30
Luvdisc,Water,Water,,60,60,60,60
Buizel,Water,Water,,20,20,20,20
Clauncher (Violet),Water,Water,,60,60,60,60
Mareanie,Poison,Water,,60,60,60,60
Arrokuda,Water,Water,,60,60,60,60
Finizen,Water,Water,,30,30,30,30
Wattrel,Electric,Flying,,60,60,60,60
Makuhita,Fighting,Fighting,,30,30,30,30
Skiddo,Grass,Grass,,50,50,50,50
Yungoos,Normal,Normal,,20,20,20,20
Gumshoos,Normal,Normal,,30,30,30,30
Rookidee,Flying,Flying,,30,30,30,30
Corvisquire,Flying,Flying,,30,30,30,30
Lokix,Bug,Dark,,30,30,30,30
Nacli,Rock,Rock,,60,60,60,60
Charcadet,Fire,Fire,,1,1,1,1
Slowpoke,Water,Psychic,,30,30,30,30
Shellder,Water,Water,,60,60,60,60
Marill,Water,Fairy,,30,30,30,30
Buizel,Water,Water,,20,20,20,20
Crabrawler,Fighting,Fighting,,30,30,30,30
Mareanie,Poison,Water,,80,80,80,80
Sandygast,Ghost,Ground,,60,60,60,60
Pincurchin,Electric,Electric,,10,10,10,10
Wiglett,Water,Water,,60,60,60,60
Wattrel,Electric,Flying,,60,60,60,60
Nacli,Rock,Rock,,15,15,15,15
Gastly,Ghost,Poison,,15,15,15,15
Bronzor,Steel,Psychic,,60,60,60,60
Mimikyu,Ghost,Fairy,,10,10,10,10
Tinkatink,Fairy,Steel,,15,15,15,15
Tinkatuff,Fairy,Steel,,15,15,15,15
