Name,Type1,Type2,Biome,Dawn,Day,Dusk,Night
Magneton,Electric,Steel,,20,20,20,20
Haunter,Ghost,Poison,,0,0,0,40
Chansey,Normal,Normal,,1,1,1,1
Flareon,Fire,Fire,,1,1,1,1
Ampharos,Electric,Electric,,10,10,10,10
Misdreavus (Violet),Ghost,Ghost,,0,0,0,15
Sneasel,Dark,Ice,,60,60,60,60
Ursaring,Normal,Normal,,20,20,20,20
Vigoroth,Normal,Normal,,20,20,20,20
Grumpig,Psychic,Psychic,,20,20,20,20
Altaria,Dragon,Flying,,20,20,20,20
Snorunt,Ice,Ice,,10,10,10,10
Drifblim (Scarlet),Ghost,Flying,,0,0,30,30
Honchkrow,Dark,Flying,,0,0,20,20
Gallade,Psychic,Fighting,,1,1,1,0
Deerling,Normal,Grass,,90,90,90,90
Sawsbuck,Normal,Grass,,60,60,60,60
Axew,Dragon,Dragon,,60,60,60,60
Fraxure,Dragon,Dragon,,20,20,20,20
Cubchoo,Ice,Ice,,10,10,10,10
Rufflet,Normal,Flying,,25,25,25,25
Pyroar,Fire,Normal,,30,30,30,30
Pyroar,Fire,Normal,,30,30,30,30
Pyroar,Fire,Normal,,30,30,30,30
Gogoat,Grass,Grass,,40,40,40,40
Lycanroc (Midday),Rock,Rock,,20,20,0,0
Lycanroc (Midnight),Rock,Rock,,0,0,0,20
Mudbray,Ground,Ground,,60,60,60,60
Mudsdale,Ground,Ground,,12,12,12,12
Greedent,Normal,Normal,,20,20,20,20
Snom,Ice,Bug,,30,30,30,30
Lokix,Bug,Dark,,20,20,20,20
Pawmo,Electric,Fighting,,15,15,15,15
Scovillain,Grass,Fire,,10,10,10,10
Flittle,Psychic,Psychic,,60,60,60,60
Espathra,Psychic,Psychic,,20,20,20,20
Tinkatuff,Fairy,Steel,,10,10,10,10
Greavard,Ghost,Ghost,,30,30,30,30
Houndstone,Ghost,Ghost,,15,15,15,15
Cetoddle,Ice,Ice,,50,50,50,50
Magneton,Electric,Steel,,3,3,3,3
Haunter,Ghost,Poison,,0,0,0,50
Sneasel,Dark,Ice,,60,60,60,60
Delibird,Ice,Flying,,10,10,10,10
Snorunt,Ice,Ice,,20,20,20,20
Glalie,Ice,Ice,,20,20,20,20
Bronzong,Steel,Psychic,,20,20,20,20
Glaceon,Ice,Ice,,1,1,1,1
Froslass,Ice,Ice,,2,2,2,2
Sawsbuck,Normal,Grass,,30,30,30,30
Cubchoo,Ice,Ice,,60,60,60,60
Beartic,Ice,Ice,,20,20,20,20
