Name,Type1,Type2,Biome,Dawn,Day,Dusk,Night
Raichu,Electric,Electric,,10,10,10,10
Venomoth,Bug,Poison,,30,30,30,30
Chansey,Normal,Normal,,1,1,1,1
Jumpluff,Grass,Flying,,30,30,30,30
Espeon,Psychic,Psychic,,1,1,1,0
Girafarig,Normal,Psychic,,30,30,30,30
Medicham,Fighting,Psychic,,20,20,20,20
Braviary,Normal,Flying,,15,15,15,15
Floette,Fairy,Fairy,,15,15,15,15
Corviknight,Flying,Steel,,20,20,20,20
Frosmoth,Ice,Bug,,5,5,5,5
Pawmo,Electric,Fighting,,10,10,10,10
Farigiraf,Normal,Psychic,,10,10,10,10
Scream Tail (Scarlet),Fairy,Psychic,,20,20,20,20
Slither Wing (Scarlet),Bug,Fighting,,15,15,15,15
Iron Bundle (Violet),Ice,Water,,20,20,20,20
Iron Hands (Violet),Fighting,Electric,,20,20,20,20
Iron Moth (Violet),Fire,Poison,,15,15,15,15
Golduck,Water,Water,,20,20,20,20
Vaporeon,Water,Water,,1,1,1,1
Altaria,Dragon,Flying,,30,30,30,30
Floatzel,Water,Water,,10,10,10,10
Drakloak (Violet),Dragon,Ghost,,5,5,5,5
Flamigo,Flying,Fighting,,20,20,20,20
Donphan,Ground,Ground,,30,30,30,30
Honchkrow,Dark,Flying,,0,0,20,20
Braviary,Normal,Flying,,15,15,15,15
Talonflame,Fire,Flying,,30,30,30,30
Gogoat,Grass,Grass,,30,30,30,30
Hawlucha,Fighting,Flying,,60,60,60,60
Lycanroc (Midday),Rock,Rock,,20,20,20,20
Copperajah,Steel,Steel,,20,20,20,20
Lokix,Bug,Dark,,30,30,30,30
Naclstack,Rock,Rock,,60,60,60,60
Garganacl,Rock,Rock,,10,10,10,10
Sandy Shocks (Scarlet),Electric,Ground,,15,15,15,15
Iron Thorns (Violet),Rock,Electric,,15,15,15,15
Raichu,Electric,Electric,,10,10,10,10
Venomoth,Bug,Poison,,30,30,30,30
Chansey,Normal,Normal,,1,1,1,1
Espeon,Psychic,Psychic,,1,1,1,0
Girafarig,Normal,Psychic,,30,30,30,30
Braviary,Normal,Flying,,15,15,15,15
Volcarona,Bug,Fire,,1,1,1,1
Floette,Fairy,Fairy,,15,15,15,15
Corviknight,Flying,Steel,,20,20,20,20
Pawmo,Electric,Fighting,,10,10,10,10
Farigiraf,Normal,Psychic,,10,10,10,10
Scream Tail (Scarlet),Fairy,Psychic,,20,20,20,20
Brute Bonnet (Scarlet),Grass,Dark,,20,20,20,20
Iron Bundle (Violet),Ice,Water,,20,20,20,20
Iron Hands (Violet),Fighting,Electric,,20,20,20,20
Golduck,Water,Water,,20,20,20,20
Vaporeon,Water,Water,,1,1,1,1
Masquerain,Bug,Flying,,30,30,30,30
Altaria,Dragon,Flying,,30,30,30,30
Floatzel,Water,Water,,10,10,10,10
Bisharp,Dark,Steel,,10,10,10,10
Bisharp,Dark,Steel,,20,20,20,20
