Name,Type1,Type2,Biome,Dawn,Day,Dusk,Night
Shellder,Water,Water,,60,60,60,60
Cloyster,Water,Ice,,10,10,10,10
Magikarp,Water,Water,,60,60,60,60
Gyarados,Water,Flying,,5,5,5,5
Qwilfish,Water,Poison,,30,30,30,30
Pelipper,Water,Flying,,40,40,40,40
Floatzel,Water,Water,,40,40,40,40
Lumineon,Water,Water,,30,30,30,30
Alomomola,Water,Water,,20,20,20,20
Tynamo,Electric,Electric,,60,60,60,60
Eelektrik,Electric,Electric,,30,30,30,30
Skrelp (Scarlet),Poison,Water,,60,60,60,60
Dragalge (Scarlet),Poison,Water,,20,20,20,20
Clauncher (Violet),Water,Water,,60,60,60,60
Clawitzer (Violet),Water,Water,,20,20,20,20
Bergmite,Ice,Ice,,60,60,60,60
Avalugg,Ice,Ice,,20,20,20,20
Barraskewda,Water,Water,,20,20,20,20
Eiscue (Violet),Ice,Ice,,50,50,50,50
Finizen,Water,Water,,30,30,30,30
Kilowattrel,Electric,Flying,,30,30,30,30
