Name,Type1,Type2,Biome,Dawn,Day,Dusk,Night
Chansey,Normal,Normal,,1,1,1,1
Jumpluff,Grass,Flying,,30,30,30,30
Espeon,Psychic,Psychic,,1,1,1,0
Pawmo,Electric,Fighting,,10,10,10,10
Glalie,Ice,Ice,,20,20,20,20
Bronzong,Steel,Psychic,,20,20,20,20
Glaceon,Ice,Ice,,1,1,1,1
Froslass,Ice,Ice,,2,2,2,2
Beartic,Ice,Ice,,20,20,20,20
Frosmoth,Ice,Bug,,10,10,10,10
Houndstone,Ghost,Ghost,,10,10,10,10
Cetitan,Ice,Ice,,10,10,10,10
Golduck,Water,Water,,20,20,20,20
Vaporeon,Water,Water,,1,1,1,1
Floatzel,Water,Water,,10,10,10,10
Barraskewda,Water,Water,,20,20,20,20
Drakloak (Violet),Dragon,Ghost,,5,5,5,5
Bellibolt,Electric,Electric,,5,5,5,5
Flamigo,Flying,Fighting,,12,12,12,12
Cloyster,Water,Ice,,10,10,10,10
Gyarados,Water,Flying,,5,5,5,5
Floatzel,Water,Water,,40,40,40,40
Alomomola,Water,Water,,20,20,20,20
Skrelp (Scarlet),Poison,Water,,60,60,60,60
Dragalge (Scarlet),Poison,Water,,20,20,20,20
Clawitzer (Violet),Water,Water,,20,20,20,20
Barraskewda,Water,Water,,20,20,20,20
Eiscue (Violet),Ice,Ice,,50,50,50,50
Kilowattrel,Electric,Flying,,30,30,30,30
Hariyama,Fighting,Fighting,,15,15,15,15
Honchkrow,Dark,Flying,,0,0,20,20
Gogoat,Grass,Grass,,30,30,30,30
Hawlucha,Fighting,Flying,,60,60,60,60
Copperajah,Steel,Steel,,20,20,20,20
Lokix,Bug,Dark,,30,30,30,30
Naclstack,Rock,Rock,,60,60,60,60
Dugtrio,Ground,Ground,,20,20,20,20
Umbreon,Dark,Dark,,0,0,0,1
Hariyama,Fighting,Fighting,,10,10,10,10
Sableye,Dark,Ghost,,20,20,20,20
Gabite,Dragon,Ground,,10,10,10,10
Deino (Scarlet),Dark,Dragon,,30,30,30,30
Zweilous (Scarlet),Dark,Dragon,,10,10,10,10
Salazzle,Poison,Fire,,5,5,5,5
Glimmet,Rock,Poison,,1,1,1,1
Floatzel,Water,Water,,10,10,10,10
Pincurchin,Electric,Electric,,10,10,10,10
Eiscue (Violet),Ice,Ice,,40,40,40,40
Wugtrio,Water,Water,,20,20,20,20
Kilowattrel,Electric,Flying,,30,30,30,30
Naclstack,Rock,Rock,,20,20,20,20
Chansey,Normal,Normal,,1,1,1,1
Jumpluff,Grass,Flying,,20,20,20,20
Sunflora,Grass,Grass,,30,30,30,0
Blissey,Normal,Normal,,1,1,1,1
Vespiquen,Bug,Flying,,20,20,20,20
Lilligant,Grass,Grass,,5,5,5,5
Vivillon,Bug,Flying,,30,30,30,30
Floette,Fairy,Fairy,,55,55,55,55
Floette,Fairy,Fairy,,55,55,55,55
Floette,Fairy,Fairy,,55,55,55,55
Floette,Fairy,Fairy,,55,55,55,55
Floette,Fairy,Fairy,,3,3,3,3
Florges,Fairy,Fairy,,1,1,1,1
Florges,Fairy,Fairy,,1,1,1,1
Florges,Fairy,Fairy,,1,1,1,1
Florges,Fairy,Fairy,,1,1,1,1
Florges,Fairy,Fairy,,1,1,1,1
Dedenne,Electric,Fairy,,10,10,10,10
Lurantis,Grass,Grass,,30,30,30,30
