Name,Type1,Type2,Biome,Dawn,Day,Dusk,Night
Raichu,Electric,Electric,,5,5,5,5
Jolteon,Electric,Electric,,1,1,1,1
Sudowoodo,Rock,Rock,,60,60,60,60
Forretress,Bug,Steel,,20,20,20,20
Heracross,Bug,Fighting,,30,30,30,30
Slaking,Normal,Normal,,5,5,5,5
Honchkrow,Dark,Flying,,0,0,20,20
Skuntank (Scarlet),Poison,Dark,,20,20,20,20
Leafeon,Grass,Grass,,1,1,1,1
Zoroark,Dark,Dark,,10,10,10,10
Sawsbuck,Normal,GrassAutumn Form,,50,50,50,50
Amoonguss,Grass,Poison,,30,30,30,30
Lurantis,Grass,Grass,,30,30,30,30
Spidops,Bug,Bug,,30,30,30,30
Mabosstiff,Dark,Dark,,20,20,20,20
Brambleghast,Grass,Ghost,,1,1,1,1
Toedscool,Ground,Grass,,150,150,150,150
Toedscruel,Ground,Grass,,40,40,40,40
