Name,Type1,Type2,Biome,Dawn,Day,Dusk,Night
Mankey,Fighting,Fighting,,60,60,60,60
Skiploom,Grass,Flying,,40,40,40,40
Murkrow,Dark,Flying,,0,0,40,40
Dunsparce,Normal,Normal,,2,2,2,2
Stantler,Normal,Normal,,20,20,20,20
Shroomish,Grass,Grass,,30,30,30,30
Slakoth,Normal,Normal,,10,10,10,10
Vigoroth,Normal,Normal,,20,20,20,20
Zangoose,Normal,Normal,,5,5,5,5
Seviper,Poison,Poison,,15,15,15,15
Luxio,Electric,Electric,,20,20,20,20
Pachirisu,Electric,Electric,,10,10,10,10
Stunky (Scarlet),Poison,Dark,,30,30,30,30
Deerling,Normal,Grass,,40,40,40,40
Fletchinder,Fire,Flying,,30,30,30,30
Litleo,Fire,Normal,,60,60,60,60
Rookidee,Flying,Flying,,30,30,30,30
Corvisquire,Flying,Flying,,20,20,20,20
Lechonk,Normal,Normal,,80,80,80,80
Oinkologne (Male),Normal,Normal,,20,20,20,20
Oinkologne (Female),Normal,Normal,,20,20,20,20
Tarountula,Bug,Bug,,50,50,50,50
Pawmo,Electric,Fighting,,10,10,10,10
Toedscool,Ground,Grass,,2,2,2,2
Mankey,Fighting,Fighting,,20,20,20,20
Gastly,Ghost,Poison,,0,0,0,50
Misdreavus (Violet),Ghost,Ghost,,0,0,0,15
Larvitar (Scarlet),Rock,Ground,,50,50,50,50
Vigoroth,Normal,Normal,,20,20,20,20
Swablu,Normal,Flying,,70,70,70,70
Bagon (Violet),Dragon,Dragon,,50,50,50,50
Drifloon (Scarlet),Ghost,Flying,,0,0,30,30
Axew,Dragon,Dragon,,60,60,60,60
Larvitar (Scarlet),Rock,Ground,,25,25,25,25
Litleo,Fire,Normal,,30,30,30,30
Skiddo,Grass,Grass,,30,30,30,30
Rockruff (Standard),Rock,Rock,,40,40,40,40
Rockruff (Own Tempo),Rock,Rock,,2,2,2,2
Mudbray,Ground,Ground,,60,60,60,60
Rookidee,Flying,Flying,,30,30,30,30
Corvisquire,Flying,Flying,,30,30,30,30
Pawmo,Electric,Fighting,,15,15,15,15
Charcadet,Fire,Fire,,1,1,1,1
Flittle,Psychic,Psychic,,60,60,60,60
Psyduck,Water,Water,,30,30,30,30
Wooper,Poison,Ground,,80,80,80,80
Croagunk,Poison,Fighting,,60,60,60,60
Goomy,Dragon,Dragon,,60,60,60,60
Mudbray,Ground,Ground,,15,15,15,15
Chewtle,Water,Water,,60,60,60,60
Drednaw,Water,Rock,,10,10,10,10
Dreepy (Violet),Dragon,Ghost,,20,20,20,20
Tadbulb,Electric,Electric,,70,70,70,70
Flamigo,Flying,Fighting,,60,60,60,60
Clodsire,Poison,Ground,,40,40,40,40
Psyduck,Water,Water,,60,60,60,60
Magikarp,Water,Water,,60,60,60,60
Marill,Water,Fairy,,60,60,60,60
Wooper,Poison,Ground,,60,60,60,60
Misdreavus (Violet),Ghost,Ghost,,0,0,0,60
Dunsparce,Normal,Normal,,5,5,5,5
Surskit,Bug,Water,,60,60,60,60
Zangoose,Normal,Normal,,40,40,40,40
Seviper,Poison,Poison,,15,15,15,15
Barboach,Water,Ground,,60,60,60,60
Stunky (Scarlet),Poison,Dark,,30,30,30,30
Croagunk,Poison,Fighting,,30,30,30,30
Basculin (Red-Striped),Water,Water,,60,60,60,60
Basculin (Blue-Striped),Water,Water,,60,60,60,60
Goomy,Dragon,Dragon,,40,40,40,40
Chewtle,Water,Water,,10,10,10,10
Dreepy (Violet),Dragon,Ghost,,15,15,15,15
Psyduck,Water,Water,,60,60,60,60
Slowpoke,Water,Psychic,,30,30,30,30
Magikarp,Water,Water,,20,20,20,20
Marill,Water,Fairy,,60,60,60,60
Surskit,Bug,Water,,60,60,60,60
