Name,Type1,Type2,Biome,Dawn,Day,Dusk,Night
Hoppip,Grass,Flying,,60,60,60,60
Happiny,Normal,Normal,,1,1,1,1
Fletchling,Normal,Flying,,60,60,60,60
Scatterbug,Bug,Bug,,60,60,60,60
Lechonk,Normal,Normal,,80,80,80,80
Tarountula,Bug,Bug,,50,50,50,50
Pawmi,Electric,Electric,,5,5,5,5
Pachirisu,Electric,Electric,,10,10,10,10
Pichu,Electric,Electric,,10,10,10,10
Bonsly,Rock,Rock,,30,30,30,30
Bounsweet,Grass,Grass,,60,60,60,60
Skwovet,Normal,Normal,,50,50,50,50
Lechonk,Normal,Normal,,60,60,60,60
Tarountula,Bug,Bug,,60,60,60,60
Shroodle,Poison,Normal,,20,20,20,20
Igglybuff,Normal,Fairy,,60,60,60,60
Ralts,Psychic,Fairy,,5,5,5,0
Fidough,Fairy,Fairy,,50,50,50,50
Psyduck,Water,Water,,60,60,60,60
Magikarp,Water,Water,,60,60,60,60
Wooper,Poison,Ground,,60,60,60,60
Surskit,Bug,Water,,60,60,60,60
Azurill,Normal,Fairy,,60,60,60,60
Chewtle,Water,Water,,10,10,10,10
Psyduck,Water,Water,,60,60,60,60
Magikarp,Water,Water,,20,20,20,20
Surskit,Bug,Water,,60,60,60,60
Azurill,Normal,Fairy,,60,60,60,60
Buizel,Water,Water,,20,20,20,20
Arrokuda,Water,Water,,40,40,40,40
Magikarp,Water,Water,,60,60,60,60
Wingull,Water,Flying,,80,80,80,80
Buizel,Water,Water,,20,20,20,20
Arrokuda,Water,Water,,60,60,60,60
Wingull,Water,Flying,,60,60,60,60
Buizel,Water,Water,,20,20,20,20
Sunkern,Grass,Grass,,60,60,60,0
Combee,Bug,Flying,,40,40,40,40
Happiny,Normal,Normal,,2,2,2,2
Spewpa,Bug,Bug,,30,30,30,30
Oricorio (Pom-Pom Style),Electric,Flying,,20,20,20,20
Gastly,Ghost,Poison,,15,15,15,15
Drowzee,Psychic,Psychic,,40,40,40,40
