Name,Type1,Type2,Biome,Dawn,Day,Dusk,Night
Murkrow,Dark,Flying,,0,0,60,60
Banette,Ghost,Ghost,,0,0,0,70
Drifblim (Scarlet),Ghost,Flying,,0,0,20,20
Gothorita,Psychic,Psychic,,30,30,30,30
Gothitelle,Psychic,Psychic,,1,1,1,1
Sylveon,Fairy,Fairy,,1,1,1,1
Klefki,Steel,Fairy,,20,20,20,20
Sinistea,Ghost,Ghost,,30,30,30,30
Sinistea,Ghost,Ghost,,1,1,1,1
Dachsbun,Fairy,Fairy,,30,30,30,30
Bombirdier,Flying,Dark,,5,5,5,5
Chansey,Normal,Normal,,1,1,1,1
Flareon,Fire,Fire,,1,1,1,1
Flaaffy,Electric,Electric,,20,20,20,20
Ampharos,Electric,Electric,,10,10,10,10
Misdreavus (Violet),Ghost,Ghost,,0,0,0,15
Donphan,Ground,Ground,,10,10,10,10
Meditite,Fighting,Psychic,,60,60,60,60
Medicham,Fighting,Psychic,,20,20,20,20
Altaria,Dragon,Flying,,20,20,20,20
Drifblim (Scarlet),Ghost,Flying,,0,0,30,30
Honchkrow,Dark,Flying,,0,0,20,20
Gallade,Psychic,Fighting,,1,1,1,0
Rufflet,Normal,Flying,,25,25,25,25
Gogoat,Grass,Grass,,40,40,40,40
Lycanroc (Midday),Rock,Rock,,20,20,0,0
Lycanroc (Midnight),Rock,Rock,,0,0,0,20
Mudsdale,Ground,Ground,,12,12,12,12
Greedent,Normal,Normal,,20,20,20,20
Toxtricity,Electric,Poison,,15,15,15,15
Toxtricity,Electric,Poison,,15,15,15,15
Lokix,Bug,Dark,,20,20,20,20
Houndstone,Ghost,Ghost,,15,15,15,15
Flittle,Psychic,Psychic,,60,60,60,60
Espathra,Psychic,Psychic,,20,20,20,20
Scovillain,Grass,Fire,,10,10,10,10
Pawmo,Electric,Fighting,,15,15,15,15
Bombirdier,Flying,Dark,,10,10,10,10
Psyduck,Water,Water,,60,60,60,60
Golduck,Water,Water,,20,20,20,20
Magikarp,Water,Water,,20,20,20,20
Vaporeon,Water,Water,,1,1,1,1
Misdreavus (Violet),Ghost,Ghost,,0,0,0,60
Whiscash,Water,Ground,,10,10,10,10
Mismagius (Violet),Ghost,Ghost,,0,0,0,3
Drednaw,Water,Rock,,10,10,10,10
Dreepy (Violet),Dragon,Ghost,,15,15,15,15
Clodsire,Poison,Ground,,30,30,30,30
Psyduck,Water,Water,,60,60,60,60
Golduck,Water,Water,,20,20,20,20
Magikarp,Water,Water,,20,20,20,20
Vaporeon,Water,Water,,1,1,1,1
Dratini,Dragon,Dragon,,20,20,20,20
Floatzel,Water,Water,,10,10,10,10
Tynamo,Electric,Electric,,60,60,60,60
Eelektrik,Electric,Electric,,30,30,30,30
Drednaw,Water,Rock,,10,10,10,10
Barraskewda,Water,Water,,20,20,20,20
Dreepy (Violet),Dragon,Ghost,,0,0,0,5
Bellibolt,Electric,Electric,,5,5,5,5
Flamigo,Flying,Fighting,,12,12,12,12
Shellder,Water,Water,,60,60,60,60
Cloyster,Water,Ice,,10,10,10,10
Magikarp,Water,Water,,60,60,60,60
Gyarados,Water,Flying,,5,5,5,5
Qwilfish,Water,Poison,,30,30,30,30
Floatzel,Water,Water,,40,40,40,40
Tynamo,Electric,Electric,,60,60,60,60
Eelektrik,Electric,Electric,,30,30,30,30
Skrelp (Scarlet),Poison,Water,,60,60,60,60
Clauncher (Violet),Water,Water,,60,60,60,60
Clawitzer (Violet),Water,Water,,20,20,20,20
Barraskewda,Water,Water,,20,20,20,20
Kilowattrel,Electric,Flying,,30,30,30,30
Bombirdier,Flying,Dark,,40,40,40,40
Finizen,Water,Water,,30,30,30,30
Hariyama,Fighting,Fighting,,15,15,15,15
Honchkrow,Dark,Flying,,0,0,20,20
Gogoat,Grass,Grass,,30,30,30,30
Gumshoos,Normal,Normal,,30,30,30,30
Copperajah,Steel,Steel,,20,20,20,20
Lokix,Bug,Dark,,30,30,30,30
Naclstack,Rock,Rock,,60,60,60,60
Dugtrio,Ground,Ground,,20,20,20,20
Umbreon,Dark,Dark,,1,1,1,1
Dunsparce,Normal,Normal,,5,5,5,5
Pupitar (Scarlet),Rock,Ground,,10,10,10,10
Hariyama,Fighting,Fighting,,10,10,10,10
Sableye,Dark,Ghost,,20,20,20,20
Medicham,Fighting,Psychic,,20,20,20,20
Shelgon (Violet),Dragon,Dragon,,10,10,10,10
Gabite,Dragon,Ground,,10,10,10,10
Deino (Scarlet),Dark,Dragon,,30,30,30,30
Salandit,Poison,Fire,,60,60,60,60
Salazzle,Poison,Fire,,5,5,5,5
Toxtricity,Electric,Poison,,15,15,15,15
Toxtricity,Electric,Poison,,15,15,15,15
Glimmet,Rock,Poison,,1,1,1,1
Chansey,Normal,Normal,,1,1,1,1
Jumpluff,Grass,Flying,,20,20,20,20
Sunflora,Grass,Grass,,30,30,30,0
Vespiquen,Bug,Flying,,20,20,20,20
Lilligant,Grass,Grass,,5,5,5,5
Vivillon,Bug,Flying,,30,30,30,30
Floette,Fairy,Fairy,,55,55,55,55
Floette,Fairy,Fairy,,55,55,55,55
Floette,Fairy,Fairy,,55,55,55,55
Floette,Fairy,Fairy,,55,55,55,55
Floette,Fairy,Fairy,,3,3,3,3
Dolliv,Grass,Normal,,10,10,10,10
Hypno,Psychic,Psychic,,20,20,20,20
Bronzong,Steel,Psychic,,20,20,20,20
Sinistea,Ghost,Ghost,,60,60,60,60
Tinkatuff,Fairy,Steel,,15,15,15,15
