Name,Type1,Type2,Biome,Dawn,Day,Dusk,Night
Murkrow,Dark,Flying,,0,0,40,40
Dunsparce,Normal,Normal,,2,2,2,2
Gulpin (Violet),Poison,Poison,,20,20,20,20
Happiny,Normal,Normal,,1,1,1,1
Rookidee,Flying,Flying,,30,30,30,30
Nymble,Bug,Bug,,60,60,60,60
Pawmi,Electric,Electric,,5,5,5,5
Murkrow,Dark,Flying,,0,0,60,60
Gulpin (Violet),Poison,Poison,,60,60,60,60
Shuppet,Ghost,Ghost,,0,0,0,70
Drifloon (Scarlet),Ghost,Flying,,0,0,40,40
Oricorio (Baile Style),Fire,Flying,,40,40,40,40
Rookidee,Flying,Flying,,30,30,30,30
Tandemaus,Normal,Normal,,10,10,10,10
Squawkabilly,Normal,Flying,,20,20,20,20
Squawkabilly,Normal,Flying,,15,15,15,15
Squawkabilly,Normal,Flying,,10,10,10,10
Squawkabilly,Normal,Flying,,5,5,5,5
Growlithe,Fire,Fire,,20,20,20,20
Makuhita,Fighting,Fighting,,30,30,30,30
Spoink,Psychic,Psychic,,20,20,20,20
Shinx,Electric,Electric,,60,60,60,60
Skiddo,Grass,Grass,,50,50,50,50
Yungoos,Normal,Normal,,20,20,20,20
Rookidee,Flying,Flying,,30,30,30,30
Pawmi,Electric,Electric,,5,5,5,5
Nacli,Rock,Rock,,60,60,60,60
Charcadet,Fire,Fire,,1,1,1,1
Klawf,Rock,Rock,,30,30,30,30
Gastly,Ghost,Poison,,15,15,15,15
Drowzee,Psychic,Psychic,,40,40,40,40
Bronzor,Steel,Psychic,,60,60,60,60
Tinkatink,Fairy,Steel,,15,15,15,15
