Name,Type1,Type2,Biome,Dawn,Day,Dusk,Night
Venonat,Bug,Poison,,40,40,40,40
Venomoth,Bug,Poison,,0,0,0,20
Murkrow,Dark,Flying,,0,0,20,20
Pineco,Bug,Bug,,60,60,60,60
Dunsparce,Normal,Normal,,4,4,4,4
Zorua,Dark,Dark,,30,30,30,30
Foongus,Grass,Normal,,60,60,60,60
Oranguru (Scarlet),Normal,Psychic,,15,15,15,15
Passimian (Violet),Fighting,Fighting,,15,15,15,15
Komala,Normal,Normal,,30,30,30,30
Mimikyu,Ghost,Fairy,,30,30,30,30
Greedent,Normal,Normal,,30,30,30,30
Applin,Grass,Dragon,,10,10,10,10
Impidimp,Dark,Fairy,,40,40,40,40
Morgrem,Dark,Fairy,,20,20,20,20
Oinkologne (Male),Normal,Normal,,20,20,20,20
Oinkologne (Female),Normal,Normal,,20,20,20,20
Spidops,Bug,Bug,,30,30,30,30
Charcadet,Fire,Fire,,1,1,1,1
Shroodle,Poison,Normal,,80,80,80,80
Grafaiai,Poison,Normal,,70,70,70,70
Toedscool,Ground,Grass,,10,10,10,10
Psyduck,Water,Water,,60,60,60,60
Magikarp,Water,Water,,60,60,60,60
Misdreavus (Violet),Ghost,Ghost,,0,0,0,60
Barboach,Water,Ground,,60,60,60,60
Whiscash,Water,Ground,,10,10,10,10
Basculin (Red-Striped),Water,Water,,60,60,60,60
Basculin (Blue-Striped),Water,Water,,60,60,60,60
Drednaw,Water,Rock,,10,10,10,10
Dreepy (Violet),Dragon,Ghost,,15,15,15,15
Clodsire,Poison,Ground,,30,30,30,30
Psyduck,Water,Water,,60,60,60,60
Magikarp,Water,Water,,20,20,20,20
Buizel,Water,Water,,20,20,20,20
Floatzel,Water,Water,,10,10,10,10
Basculin (Red-Striped),Water,Water,,60,60,60,60
Basculin (Blue-Striped),Water,Water,,60,60,60,60
Pawniard,Dark,Steel,,60,60,60,60
Chewtle,Water,Water,,10,10,10,10
Drednaw,Water,Rock,,10,10,10,10
Arrokuda,Water,Water,,40,40,40,40
Barraskewda,Water,Water,,20,20,20,20
Dreepy (Violet),Dragon,Ghost,,5,5,5,5
Tadbulb,Electric,Electric,,50,50,50,50
Flamigo,Flying,Fighting,,12,12,12,12
Makuhita,Fighting,Fighting,,30,30,30,30
Hariyama,Fighting,Fighting,,15,15,15,15
Pawniard,Dark,Steel,,30,30,30,30
Skiddo,Grass,Grass,,50,50,50,50
Gogoat,Grass,Grass,,30,30,30,30
Gumshoos,Normal,Normal,,30,30,30,30
Lokix,Bug,Dark,,30,30,30,30
Nacli,Rock,Rock,,60,60,60,60
Naclstack,Rock,Rock,,60,60,60,60
Charcadet,Fire,Fire,,1,1,1,1
Chansey,Normal,Normal,,1,1,1,1
Sunflora,Grass,Grass,,30,30,30,0
Vespiquen,Bug,Flying,,20,20,20,20
Vivillon,Bug,Flying,,30,30,30,30
Floette,Fairy,Fairy,,55,55,55,55
Floette,Fairy,Fairy,,55,55,55,55
Floette,Fairy,Fairy,,55,55,55,55
Floette,Fairy,Fairy,,55,55,55,55
Floette,Fairy,Fairy,,3,3,3,3
Fomantis,Grass,Grass,,60,60,60,60
Dolliv,Grass,Normal,,10,10,10,10
