Name,Type1,Type2,Biome,Dawn,Day,Dusk,Night
Meowth,Normal,Normal,,30,30,30,30
Chansey,Normal,Normal,,1,1,1,1
Tauros (Combat Breed),Fighting,Fighting,,40,40,40,40
Tauros (Blaze Breed) (Scarlet),Fighting,Fire,,3,3,3,3
Tauros (Aqua Breed) (Violet),Fighting,Water,,3,3,3,3
Ditto,Normal,Normal,,10,10,10,10
Flaaffy,Electric,Electric,,30,30,30,30
Murkrow,Dark,Flying,,0,0,40,40
Girafarig,Normal,Psychic,,50,50,50,50
Dunsparce,Normal,Normal,,2,2,2,2
Donphan,Ground,Ground,,30,30,30,30
Staravia,Normal,Flying,,30,30,30,0
Stunky (Scarlet),Poison,Dark,,30,30,30,30
Deerling,Normal,Grass,,70,70,70,70
Oinkologne (Male),Normal,Normal,,20,20,20,20
Oinkologne (Female),Normal,Normal,,20,20,20,20
Pawmo,Electric,Fighting,,10,10,10,10
Maschiff,Dark,Dark,,30,30,30,30
Toedscool,Ground,Grass,,2,2,2,2
Cyclizar,Dragon,Normal,,15,15,15,15
Meowth,Normal,Normal,,60,60,60,60
Grimer,Poison,Poison,,80,80,80,80
Ditto,Normal,Normal,,30,30,30,30
Murkrow,Dark,Flying,,0,0,60,60
Kirlia,Psychic,Fairy,,50,50,50,0
Drifloon (Scarlet),Ghost,Flying,,0,0,40,40
Drifblim (Scarlet),Ghost,Flying,,0,0,20,20
Rotom,Electric,Ghost,,10,10,10,10
Tandemaus,Normal,Normal,,10,10,10,10
Varoom,Steel,Poison,,10,10,10,10
Psyduck,Water,Water,,60,60,60,60
Slowpoke,Water,Psychic,,30,30,30,30
Magikarp,Water,Water,,20,20,20,20
Marill,Water,Fairy,,60,60,60,60
Azumarill,Water,Fairy,,30,30,30,30
Buizel,Water,Water,,20,20,20,20
Floatzel,Water,Water,,10,10,10,10
Croagunk,Poison,Fighting,,20,20,20,20
Basculin (Red-Striped),Water,Water,,60,60,60,60
Basculin (Blue-Striped),Water,Water,,60,60,60,60
Chewtle,Water,Water,,10,10,10,10
Drednaw,Water,Rock,,10,10,10,10
Arrokuda,Water,Water,,40,40,40,40
Barraskewda,Water,Water,,20,20,20,20
Dreepy (Violet),Dragon,Ghost,,5,5,5,5
Tadbulb,Electric,Electric,,50,50,50,50
Cyclizar,Dragon,Normal,,15,15,15,15
Flamigo,Flying,Fighting,,12,12,12,12
Shellder,Water,Water,,60,60,60,60
Magikarp,Water,Water,,60,60,60,60
Gyarados,Water,Flying,,5,5,5,5
Qwilfish,Water,Poison,,30,30,30,30
Wingull,Water,Flying,,80,80,80,80
Buizel,Water,Water,,20,20,20,20
Floatzel,Water,Water,,40,40,40,40
Clauncher (Violet),Water,Water,,60,60,60,60
Arrokuda,Water,Water,,60,60,60,60
Barraskewda,Water,Water,,20,20,20,20
Wattrel,Electric,Flying,,60,60,60,60
Kilowattrel,Electric,Flying,,30,30,30,30
Finizen,Water,Water,,30,30,30,30
Makuhita,Fighting,Fighting,,30,30,30,30
Hariyama,Fighting,Fighting,,15,15,15,15
Skiddo,Grass,Grass,,50,50,50,50
Yungoos,Normal,Normal,,20,20,20,20
Gumshoos,Normal,Normal,,30,30,30,30
Lokix,Bug,Dark,,30,30,30,30
Nacli,Rock,Rock,,60,60,60,60
Charcadet,Fire,Fire,,1,1,1,1
Slowpoke,Water,Psychic,,30,30,30,30
Wingull,Water,Flying,,60,60,60,60
Buizel,Water,Water,,20,20,20,20
Floatzel,Water,Water,,10,10,10,10
Shellos,Water,Ground,,60,60,60,60
Crabrawler,Fighting,Fighting,,30,30,30,30
Sandygast,Ghost,Ground,,60,60,60,60
Pincurchin,Electric,Electric,,10,10,10,10
Wattrel,Electric,Flying,,60,60,60,60
Kilowattrel,Electric,Flying,,30,30,30,30
Nacli,Rock,Rock,,15,15,15,15
Wiglett,Water,Water,,60,60,60,60
Wugtrio,Water,Water,,20,20,20,20
Diglett,Ground,Ground,,20,20,20,20
Dugtrio,Ground,Ground,,20,20,20,20
Dunsparce,Normal,Normal,,5,5,5,5
Larvitar (Scarlet),Rock,Ground,,10,10,10,10
Makuhita,Fighting,Fighting,,20,20,20,20
Hariyama,Fighting,Fighting,,10,10,10,10
Sableye,Dark,Ghost,,20,20,20,20
Meditite,Fighting,Psychic,,60,60,60,60
Bagon (Violet),Dragon,Dragon,,10,10,10,10
Gible,Dragon,Ground,,15,15,15,15
Noibat,Flying,Dragon,,70,70,70,70
Yungoos,Normal,Normal,,60,60,60,60
Gumshoos,Normal,Normal,,30,30,30,30
Salandit,Poison,Fire,,60,60,60,60
Charcadet,Fire,Fire,,1,1,1,1
Glimmet,Rock,Poison,,1,1,1,1
