Name,Type1,Type2,Biome,Dawn,Day,Dusk,Night
Raichu,Electric,Electric,Special,10,10,10,10
Venomoth,Bug,Poison,Special,30,30,30,30
Chansey,Normal,Normal,Special,1,1,1,1
Jumpluff,Grass,Flying,Special,30,30,30,30
Espeon,Psychic,Psychic,Special,1,1,1,0
Girafarig,Normal,Psychic,Special,30,30,30,30
Medicham,Fighting,Psychic,Special,20,20,20,20
Braviary,Normal,Flying,Special,15,15,15,15
Floette,Fairy,Fairy,Special,15,15,15,15
Corviknight,Flying,Steel,Special,20,20,20,20
Frosmoth,Ice,Bug,Special,5,5,5,5
Pawmo,Electric,Fighting,Special,10,10,10,10
Farigiraf,Normal,Psychic,Special,10,10,10,10
Scream Tail (Scarlet),Fairy,Psychic,Special,20,20,20,20
Slither Wing (Scarlet),Bug,Fighting,Special,15,15,15,15
Iron Bundle (Violet),Ice,Water,Special,20,20,20,20
Iron Hands (Violet),Fighting,Electric,Special,20,20,20,20
Iron Moth (Violet),Fire,Poison,Special,15,15,15,15
Golduck,Water,Water,Special,20,20,20,20
Vaporeon,Water,Water,Special,1,1,1,1
Altaria,Dragon,Flying,Special,30,30,30,30
Floatzel,Water,Water,Special,10,10,10,10
Drakloak (Violet),Dragon,Ghost,Special,5,5,5,5
Flamigo,Flying,Fighting,Special,20,20,20,20
Donphan,Ground,Ground,Special,30,30,30,30
Honchkrow,Dark,Flying,Special,0,0,20,20
Braviary,Normal,Flying,Special,15,15,15,15
Talonflame,Fire,Flying,Special,30,30,30,30
Gogoat,Grass,Grass,Special,30,30,30,30
Hawlucha,Fighting,Flying,Special,60,60,60,60
Lycanroc (Midday),Rock,Rock,Special,20,20,20,20
Copperajah,Steel,Steel,Special,20,20,20,20
Lokix,Bug,Dark,Special,30,30,30,30
Naclstack,Rock,Rock,Special,60,60,60,60
Garganacl,Rock,Rock,Special,10,10,10,10
Sandy Shocks (Scarlet),Electric,Ground,Special,15,15,15,15
Iron Thorns (Violet),Rock,Electric,Special,15,15,15,15
Raichu,Electric,Electric,Special,10,10,10,10
Venomoth,Bug,Poison,Special,30,30,30,30
Chansey,Normal,Normal,Special,1,1,1,1
Espeon,Psychic,Psychic,Special,1,1,1,0
Girafarig,Normal,Psychic,Special,30,30,30,30
Braviary,Normal,Flying,Special,15,15,15,15
Volcarona,Bug,Fire,Special,1,1,1,1
Floette,Fairy,Fairy,Special,15,15,15,15
Corviknight,Flying,Steel,Special,20,20,20,20
Pawmo,Electric,Fighting,Special,10,10,10,10
Farigiraf,Normal,Psychic,Special,10,10,10,10
Scream Tail (Scarlet),Fairy,Psychic,Special,20,20,20,20
Brute Bonnet (Scarlet),Grass,Dark,Special,20,20,20,20
Iron Bundle (Violet),Ice,Water,Special,20,20,20,20
Iron Hands (Violet),Fighting,Electric,Special,20,20,20,20
Golduck,Water,Water,Special,20,20,20,20
Vaporeon,Water,Water,Special,1,1,1,1
Masquerain,Bug,Flying,Special,30,30,30,30
Altaria,Dragon,Flying,Special,30,30,30,30
Floatzel,Water,Water,Special,10,10,10,10
Bisharp,Dark,Steel,Special,10,10,10,10
Bisharp,Dark,Steel,Special,20,20,20,20
Drakloak (Violet),Dragon,Ghost,Special,5,5,5,5
Bellibolt,Electric,Electric,Special,30,30,30,30
Flamigo,Flying,Fighting,Special,20,20,20,20
Donphan,Ground,Ground,Special,30,30,30,30
Camerupt,Fire,Ground,Special,20,20,20,20
Honchkrow,Dark,Flying,Special,0,0,20,20
Braviary,Normal,Flying,Special,15,15,15,15
Talonflame,Fire,Flying,Special,30,30,30,30
Gogoat,Grass,Grass,Special,30,30,30,30
Hawlucha,Fighting,Flying,Special,60,60,60,60
Lycanroc (Midnight),Rock,Rock,Special,20,20,20,20
Lokix,Bug,Dark,Special,30,30,30,30
Naclstack,Rock,Rock,Special,60,60,60,60
Garganacl,Rock,Rock,Special,10,10,10,10
Sandy Shocks (Scarlet),Electric,Ground,Special,15,15,15,15
Iron Thorns (Violet),Rock,Electric,Special,15,15,15,15
Chansey,Normal,Normal,Special,1,1,1,1
Espeon,Psychic,Psychic,Special,1,1,1,0
Pawmo,Electric,Fighting,Special,10,10,10,10
Dugtrio,Ground,Ground,Special,20,20,20,20
Umbreon,Dark,Dark,Special,0,0,0,1
Sneasel,Dark,Ice,Special,50,50,50,50
Sableye,Dark,Ghost,Special,20,20,20,20
Gabite,Dragon,Ground,Special,10,10,10,10
Weavile,Dark,Ice,Special,3,3,3,3
Deino (Scarlet),Dark,Dragon,Special,30,30,30,30
Zweilous (Scarlet),Dark,Dragon,Special,10,10,10,10
Lycanroc (Midnight),Rock,Rock,Special,20,20,20,20
Salazzle,Poison,Fire,Special,5,5,5,5
Glimmet,Rock,Poison,Special,1,1,1,1
Flutter Mane (Scarlet),Ghost,Fairy,Special,15,15,15,15
Iron Jugulis (Violet),Dark,Flying,Special,15,15,15,15
Chansey,Normal,Normal,Special,1,1,1,1
Espeon,Psychic,Psychic,Special,1,1,1,0
Pawmo,Electric,Fighting,Special,10,10,10,10
Golduck,Water,Water,Special,20,20,20,20
Vaporeon,Water,Water,Special,1,1,1,1
Floatzel,Water,Water,Special,10,10,10,10
Drakloak (Violet),Dragon,Ghost,Special,5,5,5,5
Dugtrio,Ground,Ground,Special,20,20,20,20
Umbreon,Dark,Dark,Special,0,0,0,1
Sneasel,Dark,Ice,Special,50,50,50,50
Sableye,Dark,Ghost,Special,20,20,20,20
Gabite,Dragon,Ground,Special,10,10,10,10
Weavile,Dark,Ice,Special,3,3,3,3
