Name,Type1,Type2,Biome,Dawn,Day,Dusk,Night
Shellder,Water,Water,Ocean,60,60,60,60
Cloyster,Water,Ice,Ocean,10,10,10,10
Magikarp,Water,Water,Ocean,60,60,60,60
Gyarados,Water,Flying,Ocean,5,5,5,5
Qwilfish,Water,Poison,Ocean,30,30,30,30
Luvdisc,Water,Water,Ocean,60,60,60,60
Buizel,Water,Water,Ocean,20,20,20,20
Floatzel,Water,Water,Ocean,40,40,40,40
Skrelp (Scarlet),Poison,Water,Ocean,60,60,60,60
Clauncher (Violet),Water,Water,Ocean,60,60,60,60
Mareanie,Poison,Water,Ocean,60,60,60,60
Bruxish,Water,Psychic,Ocean,30,30,30,30
Arrokuda,Water,Water,Ocean,60,60,60,60
Barraskewda,Water,Water,Ocean,20,20,20,20
Finizen,Water,Water,Ocean,30,30,30,30
Wattrel,Electric,Flying,Ocean,60,60,60,60
Kilowattrel,Electric,Flying,Ocean,30,30,30,30
Buizel,Water,Water,Beach,20,20,20,20
Crabrawler,Fighting,Fighting,Beach,30,30,30,30
Mareanie,Poison,Water,Beach,80,80,80,80
Pincurchin,Electric,Electric,Beach,10,10,10,10
Wiglett,Water,Water,Beach,60,60,60,60
Wugtrio,Water,Water,Beach,20,20,20,20
Wattrel,Electric,Flying,Beach,60,60,60,60
Nacli,Rock,Rock,Beach,15,15,15,15
Chansey,Normal,Normal,Flower,1,1,1,1
Sunflora,Grass,Grass,Flower,30,30,30,0
Combee,Bug,Flying,Flower,40,40,40,40
Vivillon,Bug,Flying,Flower,30,30,30,30
Flabebe,Fairy,Fairy,Flower,60,60,60,60
Flabebe,Fairy,Fairy,Flower,60,60,60,60
Flabebe,Fairy,Fairy,Flower,60,60,60,60
Flabebe,Fairy,Fairy,Flower,60,60,60,60
Flabebe,Fairy,Fairy,Flower,6,6,6,6
Floette,Fairy,Fairy,Flower,55,55,55,55
Floette,Fairy,Fairy,Flower,55,55,55,55
Floette,Fairy,Fairy,Flower,55,55,55,55
Floette,Fairy,Fairy,Flower,55,55,55,55
Floette,Fairy,Fairy,Flower,3,3,3,3
Dolliv,Grass,Normal,Flower,10,10,10,10
