Name,Type1,Type2,Biome,Dawn,Day,Dusk,Night
Tauros (Combat Breed),Fighting,Fighting,Prairie,40,40,40,40
Skiploom,Grass,Flying,Prairie,40,40,40,40
Murkrow,Dark,Flying,Prairie,0,0,40,40
Dunsparce,Normal,Normal,Prairie,2,2,2,2
Gulpin (Violet),Poison,Poison,Prairie,20,20,20,20
Deerling,Normal,Grass,Prairie,70,70,70,70
Litleo,Fire,Normal,Prairie,60,60,60,60
Steenee,Grass,Grass,Prairie,10,10,10,10
Rookidee,Flying,Flying,Prairie,30,30,30,30
Corvisquire,Flying,Flying,Prairie,20,20,20,20
Lechonk,Normal,Normal,Prairie,80,80,80,80
Oinkologne (Male),Normal,Normal,Prairie,20,20,20,20
Oinkologne (Female),Normal,Normal,Prairie,20,20,20,20
Pawmo,Electric,Fighting,Prairie,10,10,10,10
Toedscool,Ground,Grass,Prairie,2,2,2,2
Pikachu,Electric,Electric,Forest,10,10,10,10
Venonat,Bug,Poison,Forest,40,40,40,40
Murkrow,Dark,Flying,Forest,0,0,20,20
Pineco,Bug,Bug,Forest,60,60,60,60
Dunsparce,Normal,Normal,Forest,4,4,4,4
Teddiursa,Normal,Normal,Forest,60,60,60,60
Bounsweet,Grass,Grass,Forest,60,60,60,60
Steenee,Grass,Grass,Forest,30,30,30,30
Komala,Normal,Normal,Forest,30,30,30,30
Applin,Grass,Dragon,Forest,10,10,10,10
Lechonk,Normal,Normal,Forest,60,60,60,60
Oinkologne (Male),Normal,Normal,Forest,20,20,20,20
Oinkologne (Female),Normal,Normal,Forest,20,20,20,20
Spidops,Bug,Bug,Forest,30,30,30,30
Shroodle,Poison,Normal,Forest,20,20,20,20
Charcadet,Fire,Fire,Forest,1,1,1,1
Toedscool,Ground,Grass,Forest,10,10,10,10
Murkrow,Dark,Flying,Town,0,0,60,60
Shuppet,Ghost,Ghost,Town,0,0,0,70
Gulpin (Violet),Poison,Poison,Town,60,60,60,60
Drifloon (Scarlet),Ghost,Flying,Town,0,0,40,40
Oricorio (Baile Style),Fire,Flying,Town,40,40,40,40
Rookidee,Flying,Flying,Town,30,30,30,30
Corvisquire,Flying,Flying,Town,30,30,30,30
Tandemaus,Normal,Normal,Town,10,10,10,10
Squawkabilly,Normal,Flying,Town,20,20,20,20
Squawkabilly,Normal,Flying,Town,15,15,15,15
Squawkabilly,Normal,Flying,Town,10,10,10,10
Squawkabilly,Normal,Flying,Town,5,5,5,5
Gastly,Ghost,Poison,Mountain,0,0,0,50
Misdreavus (Violet),Ghost,Ghost,Mountain,0,0,0,15
Swablu,Normal,Flying,Mountain,70,70,70,70
Drifloon (Scarlet),Ghost,Flying,Mountain,0,0,30,30
Rufflet,Normal,Flying,Mountain,25,25,25,25
Litleo,Fire,Normal,Mountain,30,30,30,30
Skiddo,Grass,Grass,Mountain,30,30,30,30
Rockruff (Standard),Rock,Rock,Mountain,40,40,40,40
Rockruff (Own Tempo),Rock,Rock,Mountain,2,2,2,2
Mudbray,Ground,Ground,Mountain,60,60,60,60
Rookidee,Flying,Flying,Mountain,30,30,30,30
Corvisquire,Flying,Flying,Mountain,30,30,30,30
Flittle,Psychic,Psychic,Mountain,60,60,60,60
Pawmo,Electric,Fighting,Mountain,15,15,15,15
Charcadet,Fire,Fire,Mountain,1,1,1,1
Psyduck,Water,Water,Riverside,60,60,60,60
Slowpoke,Water,Psychic,Riverside,30,30,30,30
Magikarp,Water,Water,Riverside,20,20,20,20
Marill,Water,Fairy,Riverside,60,60,60,60
Buizel,Water,Water,Riverside,20,20,20,20
Basculin (Red-Striped),Water,Water,Riverside,60,60,60,60
Basculin (Blue-Striped),Water,Water,Riverside,60,60,60,60
Chewtle,Water,Water,Riverside,10,10,10,10
Drednaw,Water,Rock,Riverside,10,10,10,10
Arrokuda,Water,Water,Riverside,40,40,40,40
Dreepy (Violet),Dragon,Ghost,Riverside,5,5,5,5
Tadbulb,Electric,Electric,Riverside,50,50,50,50
Shellder,Water,Water,Ocean,60,60,60,60
Magikarp,Water,Water,Ocean,60,60,60,60
Gyarados,Water,Flying,Ocean,5,5,5,5
Qwilfish,Water,Poison,Ocean,30,30,30,30
Luvdisc,Water,Water,Ocean,60,60,60,60
Buizel,Water,Water,Ocean,20,20,20,20
Clauncher (Violet),Water,Water,Ocean,60,60,60,60
Mareanie,Poison,Water,Ocean,60,60,60,60
Arrokuda,Water,Water,Ocean,60,60,60,60
Finizen,Water,Water,Ocean,30,30,30,30
Wattrel,Electric,Flying,Ocean,60,60,60,60
Makuhita,Fighting,Fighting,Rocky Area,30,30,30,30
Litleo,Fire,Normal,Rocky Area,50,50,50,50
Skiddo,Grass,Grass,Rocky Area,50,50,50,50
Yungoos,Normal,Normal,Rocky Area,20,20,20,20
Gumshoos,Normal,Normal,Rocky Area,30,30,30,30
Rookidee,Flying,Flying,Rocky Area,30,30,30,30
Corvisquire,Flying,Flying,Rocky Area,30,30,30,30
Nacli,Rock,Rock,Rocky Area,60,60,60,60
Charcadet,Fire,Fire,Rocky Area,1,1,1,1
Slowpoke,Water,Psychic,Beach,30,30,30,30
Shellder,Water,Water,Beach,60,60,60,60
Buizel,Water,Water,Beach,20,20,20,20
Shellos,Water,Ground,Beach,60,60,60,60
Crabrawler,Fighting,Fighting,Beach,30,30,30,30
Mareanie,Poison,Water,Beach,80,80,80,80
Sandygast,Ghost,Ground,Beach,60,60,60,60
Pincurchin,Electric,Electric,Beach,10,10,10,10
Wiglett,Water,Water,Beach,60,60,60,60
Wattrel,Electric,Flying,Beach,60,60,60,60
Nacli,Rock,Rock,Beach,15,15,15,15
