Name,Type1,Type2,Biome,Dawn,Day,Dusk,Night
Meowth,Normal,Normal,Prairie,30,30,30,30
Magnemite,Electric,Steel,Prairie,50,50,50,50
Murkrow,Dark,Flying,Prairie,0,0,40,40
Dunsparce,Normal,Normal,Prairie,2,2,2,2
Rookidee,Flying,Flying,Prairie,30,30,30,30
Corvisquire,Flying,Flying,Prairie,20,20,20,20
Pawmo,Electric,Fighting,Prairie,10,10,10,10
Toedscool,Ground,Grass,Prairie,2,2,2,2
Meowth,Normal,Normal,Town,60,60,60,60
Magnemite,Electric,Steel,Town,20,20,20,20
Voltorb,Electric,Electric,Town,30,30,30,30
Murkrow,Dark,Flying,Town,0,0,60,60
Shuppet,Ghost,Ghost,Town,0,0,0,70
Drifloon (Scarlet),Ghost,Flying,Town,0,0,40,40
Drifblim (Scarlet),Ghost,Flying,Town,0,0,20,20
Gothita,Psychic,Psychic,Town,30,30,30,30
Rookidee,Flying,Flying,Town,30,30,30,30
Corvisquire,Flying,Flying,Town,30,30,30,30
Sinistea,Ghost,Ghost,Town,30,30,30,30
Tandemaus,Normal,Normal,Town,10,10,10,10
Dachsbun,Fairy,Fairy,Town,30,30,30,30
Squawkabilly,Normal,Flying,Town,20,20,20,20
Squawkabilly,Normal,Flying,Town,15,15,15,15
Squawkabilly,Normal,Flying,Town,10,10,10,10
Squawkabilly,Normal,Flying,Town,5,5,5,5
Varoom,Steel,Poison,Town,10,10,10,10
Psyduck,Water,Water,Lake,60,60,60,60
Magikarp,Water,Water,Lake,60,60,60,60
Misdreavus (Violet),Ghost,Ghost,Lake,0,0,0,60
Barboach,Water,Ground,Lake,60,60,60,60
Basculin (Red-Striped),Water,Water,Lake,60,60,60,60
Basculin (Blue-Striped),Water,Water,Lake,60,60,60,60
Goomy,Dragon,Dragon,Lake,40,40,40,40
Chewtle,Water,Water,Lake,10,10,10,10
Drednaw,Water,Rock,Lake,10,10,10,10
Dreepy (Violet),Dragon,Ghost,Lake,15,15,15,15
Flamigo,Flying,Fighting,Lake,10,10,10,10
Clodsire,Poison,Ground,Lake,30,30,30,30
Psyduck,Water,Water,Riverside,60,60,60,60
Magikarp,Water,Water,Riverside,20,20,20,20
Buizel,Water,Water,Riverside,20,20,20,20
Floatzel,Water,Water,Riverside,10,10,10,10
Basculin (Red-Striped),Water,Water,Riverside,60,60,60,60
Basculin (Blue-Striped),Water,Water,Riverside,60,60,60,60
Pawniard,Dark,Steel,Riverside,60,60,60,60
Chewtle,Water,Water,Riverside,10,10,10,10
Drednaw,Water,Rock,Riverside,10,10,10,10
Arrokuda,Water,Water,Riverside,40,40,40,40
Barraskewda,Water,Water,Riverside,20,20,20,20
Dreepy (Violet),Dragon,Ghost,Riverside,5,5,5,5
Tadbulb,Electric,Electric,Riverside,50,50,50,50
Flamigo,Flying,Fighting,Riverside,12,12,12,12
Shellder,Water,Water,Ocean,60,60,60,60
Magikarp,Water,Water,Ocean,60,60,60,60
Gyarados,Water,Flying,Ocean,5,5,5,5
Qwilfish,Water,Poison,Ocean,30,30,30,30
Luvdisc,Water,Water,Ocean,60,60,60,60
Buizel,Water,Water,Ocean,20,20,20,20
Clauncher (Violet),Water,Water,Ocean,60,60,60,60
Arrokuda,Water,Water,Ocean,60,60,60,60
Barraskewda,Water,Water,Ocean,20,20,20,20
Finizen,Water,Water,Ocean,30,30,30,30
Wattrel,Electric,Flying,Ocean,60,60,60,60
Diglett,Ground,Ground,Cave,20,20,20,20
Dugtrio,Ground,Ground,Cave,20,20,20,20
Umbreon,Dark,Dark,Cave,0,0,0,1
Dunsparce,Normal,Normal,Cave,5,5,5,5
Larvitar (Scarlet),Rock,Ground,Cave,10,10,10,10
Makuhita,Fighting,Fighting,Cave,20,20,20,20
Hariyama,Fighting,Fighting,Cave,10,10,10,10
Sableye,Dark,Ghost,Cave,20,20,20,20
Bagon (Violet),Dragon,Dragon,Cave,10,10,10,10
Gabite,Dragon,Ground,Cave,10,10,10,10
Deino (Scarlet),Dark,Dragon,Cave,30,30,30,30
Yungoos,Normal,Normal,Cave,60,60,60,60
Gumshoos,Normal,Normal,Cave,30,30,30,30
Salandit,Poison,Fire,Cave,60,60,60,60
Salazzle,Poison,Fire,Cave,5,5,5,5
Rolycoly,Rock,Rock,Cave,20,20,20,20
Charcadet,Fire,Fire,Cave,1,1,1,1
Glimmet,Rock,Poison,Cave,1,1,1,1
Diglett,Ground,Ground,Mine,40,40,40,40
Dugtrio,Ground,Ground,Mine,40,40,40,40
Meowth,Normal,Normal,Mine,15,15,15,15
Growlithe,Fire,Fire,Mine,10,10,10,10
Gastly,Ghost,Poison,Mine,0,0,0,30
Voltorb,Electric,Electric,Mine,30,30,30,30
Larvitar (Scarlet),Rock,Ground,Mine,3,3,3,3
Makuhita,Fighting,Fighting,Mine,10,10,10,10
Hariyama,Fighting,Fighting,Mine,40,40,40,40
Torkoal,Fire,Fire,Mine,10,10,10,10
Bagon (Violet),Dragon,Dragon,Mine,3,3,3,3
Rufflet,Normal,Flying,Mine,20,20,20,20
Rolycoly,Rock,Rock,Mine,60,60,60,60
Carkol,Rock,Fire,Mine,60,60,60,60
Silicobra,Ground,Ground,Mine,10,10,10,10
Cufant,Steel,Steel,Mine,60,60,60,60
Bramblin,Grass,Ghost,Mine,60,60,60,60
Varoom,Steel,Poison,Mine,15,15,15,15
Orthworm,Steel,Steel,Mine,30,30,30,30
