Name,Type1,Type2,Biome,Dawn,Day,Dusk,Night
Magnemite,Electric,Steel,Prairie,50,50,50,50
Chansey,Normal,Normal,Prairie,1,1,1,1
Tauros (Combat Breed),Fighting,Fighting,Prairie,40,40,40,40
Tauros (Blaze Breed) (Scarlet),Fighting,Fire,Prairie,3,3,3,3
Tauros (Aqua Breed) (Violet),Fighting,Water,Prairie,3,3,3,3
Marill,Water,Fairy,Prairie,80,80,80,80
Skiploom,Grass,Flying,Prairie,40,40,40,40
Murkrow,Dark,Flying,Prairie,0,0,40,40
Dunsparce,Normal,Normal,Prairie,2,2,2,2
Deerling,Normal,Grass,Prairie,70,70,70,70
Rookidee,Flying,Flying,Prairie,30,30,30,30
Corvisquire,Flying,Flying,Prairie,20,20,20,20
Oinkologne (Male),Normal,Normal,Prairie,20,20,20,20
Oinkologne (Female),Normal,Normal,Prairie,20,20,20,20
Cyclizar,Dragon,Normal,Prairie,15,15,15,15
Pawmo,Electric,Fighting,Prairie,10,10,10,10
Wattrel,Electric,Flying,Prairie,110,110,110,110
Toedscool,Ground,Grass,Prairie,2,2,2,2
Venonat,Bug,Poison,Forest,40,40,40,40
Murkrow,Dark,Flying,Forest,0,0,20,20
Pineco,Bug,Bug,Forest,60,60,60,60
Dunsparce,Normal,Normal,Forest,4,4,4,4
Komala,Normal,Normal,Forest,30,30,30,30
Applin,Grass,Dragon,Forest,10,10,10,10
Oinkologne (Male),Normal,Normal,Forest,20,20,20,20
Oinkologne (Female),Normal,Normal,Forest,20,20,20,20
Spidops,Bug,Bug,Forest,30,30,30,30
Cyclizar,Dragon,Normal,Forest,15,15,15,15
Shroodle,Poison,Normal,Forest,20,20,20,20
Charcadet,Fire,Fire,Forest,1,1,1,1
Toedscool,Ground,Grass,Forest,10,10,10,10
Magnemite,Electric,Steel,Town,20,20,20,20
Grimer,Poison,Poison,Town,80,80,80,80
Murkrow,Dark,Flying,Town,0,0,60,60
Kirlia,Psychic,Fairy,Town,50,50,50,0
Shuppet,Ghost,Ghost,Town,0,0,0,70
Drifloon (Scarlet),Ghost,Flying,Town,0,0,40,40
Rotom,Electric,Ghost,Town,10,10,10,10
Rookidee,Flying,Flying,Town,30,30,30,30
Corvisquire,Flying,Flying,Town,30,30,30,30
Tandemaus,Normal,Normal,Town,10,10,10,10
Squawkabilly,Normal,Flying,Town,20,20,20,20
Squawkabilly,Normal,Flying,Town,15,15,15,15
Squawkabilly,Normal,Flying,Town,10,10,10,10
Squawkabilly,Normal,Flying,Town,5,5,5,5
Psyduck,Water,Water,Riverside,60,60,60,60
Slowpoke,Water,Psychic,Riverside,30,30,30,30
Magikarp,Water,Water,Riverside,20,20,20,20
Marill,Water,Fairy,Riverside,60,60,60,60
Buizel,Water,Water,Riverside,20,20,20,20
Basculin (Red-Striped),Water,Water,Riverside,60,60,60,60
Basculin (Blue-Striped),Water,Water,Riverside,60,60,60,60
Chewtle,Water,Water,Riverside,10,10,10,10
Drednaw,Water,Rock,Riverside,10,10,10,10
Arrokuda,Water,Water,Riverside,40,40,40,40
Dreepy (Violet),Dragon,Ghost,Riverside,5,5,5,5
Tadbulb,Electric,Electric,Riverside,50,50,50,50
Cyclizar,Dragon,Normal,Riverside,15,15,15,15
Shellder,Water,Water,Ocean,60,60,60,60
Magikarp,Water,Water,Ocean,60,60,60,60
Gyarados,Water,Flying,Ocean,5,5,5,5
Qwilfish,Water,Poison,Ocean,30,30,30,30
Luvdisc,Water,Water,Ocean,60,60,60,60
Buizel,Water,Water,Ocean,20,20,20,20
Clauncher (Violet),Water,Water,Ocean,60,60,60,60
Mareanie,Poison,Water,Ocean,60,60,60,60
Arrokuda,Water,Water,Ocean,60,60,60,60
Finizen,Water,Water,Ocean,30,30,30,30
Wattrel,Electric,Flying,Ocean,60,60,60,60
Makuhita,Fighting,Fighting,Rocky Area,30,30,30,30
Skiddo,Grass,Grass,Rocky Area,50,50,50,50
Yungoos,Normal,Normal,Rocky Area,20,20,20,20
Gumshoos,Normal,Normal,Rocky Area,30,30,30,30
Rookidee,Flying,Flying,Rocky Area,30,30,30,30
Corvisquire,Flying,Flying,Rocky Area,30,30,30,30
Lokix,Bug,Dark,Rocky Area,30,30,30,30
Nacli,Rock,Rock,Rocky Area,60,60,60,60
Charcadet,Fire,Fire,Rocky Area,1,1,1,1
Slowpoke,Water,Psychic,Beach,30,30,30,30
Shellder,Water,Water,Beach,60,60,60,60
Marill,Water,Fairy,Beach,30,30,30,30
Buizel,Water,Water,Beach,20,20,20,20
Crabrawler,Fighting,Fighting,Beach,30,30,30,30
Mareanie,Poison,Water,Beach,80,80,80,80
Sandygast,Ghost,Ground,Beach,60,60,60,60
Pincurchin,Electric,Electric,Beach,10,10,10,10
Wiglett,Water,Water,Beach,60,60,60,60
Wattrel,Electric,Flying,Beach,60,60,60,60
Nacli,Rock,Rock,Beach,15,15,15,15
Gastly,Ghost,Poison,Ruins,15,15,15,15
Bronzor,Steel,Psychic,Ruins,60,60,60,60
Mimikyu,Ghost,Fairy,Ruins,10,10,10,10
Tinkatink,Fairy,Steel,Ruins,15,15,15,15
Tinkatuff,Fairy,Steel,Ruins,15,15,15,15
