Name,Type1,Type2,Biome,Dawn,Day,Dusk,Night
Magneton,Electric,Steel,Mountain,20,20,20,20
Haunter,Ghost,Poison,Mountain,0,0,0,40
Chansey,Normal,Normal,Mountain,1,1,1,1
Flareon,Fire,Fire,Mountain,1,1,1,1
Ampharos,Electric,Electric,Mountain,10,10,10,10
Misdreavus (Violet),Ghost,Ghost,Mountain,0,0,0,15
Sneasel,Dark,Ice,Mountain,60,60,60,60
Ursaring,Normal,Normal,Mountain,20,20,20,20
Vigoroth,Normal,Normal,Mountain,20,20,20,20
Grumpig,Psychic,Psychic,Mountain,20,20,20,20
Altaria,Dragon,Flying,Mountain,20,20,20,20
Snorunt,Ice,Ice,Mountain,10,10,10,10
Drifblim (Scarlet),Ghost,Flying,Mountain,0,0,30,30
Honchkrow,Dark,Flying,Mountain,0,0,20,20
Gallade,Psychic,Fighting,Mountain,1,1,1,0
Deerling,Normal,Grass,Mountain,90,90,90,90
Sawsbuck,Normal,Grass,Mountain,60,60,60,60
Axew,Dragon,Dragon,Mountain,60,60,60,60
Fraxure,Dragon,Dragon,Mountain,20,20,20,20
Cubchoo,Ice,Ice,Mountain,10,10,10,10
Rufflet,Normal,Flying,Mountain,25,25,25,25
Pyroar,Fire,Normal,Mountain,30,30,30,30
Pyroar,Fire,Normal,Mountain,30,30,30,30
Pyroar,Fire,Normal,Mountain,30,30,30,30
Gogoat,Grass,Grass,Mountain,40,40,40,40
Lycanroc (Midday),Rock,Rock,Mountain,20,20,0,0
Lycanroc (Midnight),Rock,Rock,Mountain,0,0,0,20
Mudbray,Ground,Ground,Mountain,60,60,60,60
Mudsdale,Ground,Ground,Mountain,12,12,12,12
Greedent,Normal,Normal,Mountain,20,20,20,20
Snom,Ice,Bug,Mountain,30,30,30,30
Lokix,Bug,Dark,Mountain,20,20,20,20
Pawmo,Electric,Fighting,Mountain,15,15,15,15
Scovillain,Grass,Fire,Mountain,10,10,10,10
Flittle,Psychic,Psychic,Mountain,60,60,60,60
Espathra,Psychic,Psychic,Mountain,20,20,20,20
Tinkatuff,Fairy,Steel,Mountain,10,10,10,10
Greavard,Ghost,Ghost,Mountain,30,30,30,30
Houndstone,Ghost,Ghost,Mountain,15,15,15,15
Cetoddle,Ice,Ice,Mountain,50,50,50,50
Magneton,Electric,Steel,Snowfield,3,3,3,3
Haunter,Ghost,Poison,Snowfield,0,0,0,50
Sneasel,Dark,Ice,Snowfield,60,60,60,60
Delibird,Ice,Flying,Snowfield,10,10,10,10
Snorunt,Ice,Ice,Snowfield,20,20,20,20
Glalie,Ice,Ice,Snowfield,20,20,20,20
Bronzong,Steel,Psychic,Snowfield,20,20,20,20
Glaceon,Ice,Ice,Snowfield,1,1,1,1
Froslass,Ice,Ice,Snowfield,2,2,2,2
Sawsbuck,Normal,Grass,Snowfield,30,30,30,30
Cubchoo,Ice,Ice,Snowfield,60,60,60,60
Beartic,Ice,Ice,Snowfield,20,20,20,20
Bergmite,Ice,Ice,Snowfield,60,60,60,60
Avalugg,Ice,Ice,Snowfield,20,20,20,20
Crabrawler,Fighting,Fighting,Snowfield,2,2,2,2
Snom,Ice,Bug,Snowfield,60,60,60,60
Frosmoth,Ice,Bug,Snowfield,10,10,10,10
Greavard,Ghost,Ghost,Snowfield,25,25,25,25
Houndstone,Ghost,Ghost,Snowfield,10,10,10,10
Cetoddle,Ice,Ice,Snowfield,60,60,60,60
Frigibax,Dragon,Ice,Snowfield,1,1,1,1
Hariyama,Fighting,Fighting,Rocky Area,15,15,15,15
Grumpig,Psychic,Psychic,Rocky Area,20,20,20,20
Honchkrow,Dark,Flying,Rocky Area,0,0,20,20
Pyroar,Fire,Normal,Rocky Area,30,30,30,30
Pyroar,Fire,Normal,Rocky Area,30,30,30,30
Pyroar,Fire,Normal,Rocky Area,30,30,30,30
Gogoat,Grass,Grass,Rocky Area,30,30,30,30
Gumshoos,Normal,Normal,Rocky Area,30,30,30,30
Copperajah,Steel,Steel,Rocky Area,20,20,20,20
Lokix,Bug,Dark,Rocky Area,30,30,30,30
Naclstack,Rock,Rock,Rocky Area,60,60,60,60
Revavroom,Steel,Poison,Rocky Area,20,20,20,20
Haunter,Ghost,Poison,Ruins,0,0,0,50
Hypno,Psychic,Psychic,Ruins,20,20,20,20
Bronzong,Steel,Psychic,Ruins,20,20,20,20
Mimikyu,Ghost,Fairy,Ruins,10,10,10,10
Tinkatuff,Fairy,Steel,Ruins,15,15,15,15
Murkrow,Dark,Flying,Town,0,0,60,60
Delibird,Ice,Flying,Town,30,30,30,30
Kirlia,Psychic,Fairy,Town,50,50,50,0
Banette,Ghost,Ghost,Town,0,0,0,70
Drifblim (Scarlet),Ghost,Flying,Town,0,0,20,20
Snover,Grass,Ice,Town,50,50,50,50
Klefki,Steel,Fairy,Town,20,20,20,20
Magneton,Electric,Steel,Mountain,20,20,20,20
Chansey,Normal,Normal,Mountain,1,1,1,1
Flareon,Fire,Fire,Mountain,1,1,1,1
Misdreavus (Violet),Ghost,Ghost,Mountain,0,0,0,15
Sneasel,Dark,Ice,Mountain,60,60,60,60
Altaria,Dragon,Flying,Mountain,20,20,20,20
Snorunt,Ice,Ice,Mountain,10,10,10,10
Drifblim (Scarlet),Ghost,Flying,Mountain,0,0,30,30
Honchkrow,Dark,Flying,Mountain,0,0,20,20
Gallade,Psychic,Fighting,Mountain,1,1,1,0
Deerling,Normal,Grass,Mountain,90,90,90,90
Sawsbuck,Normal,Grass,Mountain,60,60,60,60
Cubchoo,Ice,Ice,Mountain,10,10,10,10
Rufflet,Normal,Flying,Mountain,25,25,25,25
Gogoat,Grass,Grass,Mountain,40,40,40,40
Lycanroc (Midday),Rock,Rock,Mountain,20,20,0,0
Lycanroc (Midnight),Rock,Rock,Mountain,0,0,0,20
Mudbray,Ground,Ground,Mountain,60,60,60,60
Mudsdale,Ground,Ground,Mountain,12,12,12,12
Greedent,Normal,Normal,Mountain,20,20,20,20
Lokix,Bug,Dark,Mountain,20,20,20,20
Pawmo,Electric,Fighting,Mountain,15,15,15,15
Scovillain,Grass,Fire,Mountain,10,10,10,10
Flittle,Psychic,Psychic,Mountain,60,60,60,60
Espathra,Psychic,Psychic,Mountain,20,20,20,20
Greavard,Ghost,Ghost,Mountain,30,30,30,30
Cetoddle,Ice,Ice,Mountain,50,50,50,50
Magneton,Electric,Steel,Snowfield,3,3,3,3
Sneasel,Dark,Ice,Snowfield,60,60,60,60
Delibird,Ice,Flying,Snowfield,10,10,10,10
Gardevoir,Psychic,Fairy,Snowfield,10,10,10,0
Snorunt,Ice,Ice,Snowfield,20,20,20,20
Bronzong,Steel,Psychic,Snowfield,20,20,20,20
Snover,Grass,Ice,Snowfield,60,60,60,60
Abomasnow,Grass,Ice,Snowfield,20,20,20,20
Glaceon,Ice,Ice,Snowfield,1,1,1,1
Froslass,Ice,Ice,Snowfield,2,2,2,2
Sawsbuck,Normal,Grass,Snowfield,30,30,30,30
Cubchoo,Ice,Ice,Snowfield,60,60,60,60
Beartic,Ice,Ice,Snowfield,20,20,20,20
Cryogonal,Ice,Ice,Snowfield,100,100,100,100
Bergmite,Ice,Ice,Snowfield,60,60,60,60
Avalugg,Ice,Ice,Snowfield,20,20,20,20
Crabrawler,Fighting,Fighting,Snowfield,2,2,2,2
Greavard,Ghost,Ghost,Snowfield,25,25,25,25
Cetoddle,Ice,Ice,Snowfield,60,60,60,60
Frigibax,Dragon,Ice,Snowfield,1,1,1,1
Psyduck,Water,Water,Lake,60,60,60,60
Golduck,Water,Water,Lake,20,20,20,20
Magikarp,Water,Water,Lake,60,60,60,60
Vaporeon,Water,Water,Lake,1,1,1,1
Misdreavus (Violet),Ghost,Ghost,Lake,0,0,0,60
Whiscash,Water,Ground,Lake,10,10,10,10
Basculin (Red-Striped),Water,Water,Lake,60,60,60,60
