Name,Type1,Type2,Biome,Dawn,Day,Dusk,Night
Shellder,Water,Water,Ocean,60,60,60,60
Cloyster,Water,Ice,Ocean,10,10,10,10
Magikarp,Water,Water,Ocean,60,60,60,60
Gyarados,Water,Flying,Ocean,5,5,5,5
Qwilfish,Water,Poison,Ocean,30,30,30,30
Pelipper,Water,Flying,Ocean,40,40,40,40
Floatzel,Water,Water,Ocean,40,40,40,40
Lumineon,Water,Water,Ocean,30,30,30,30
Alomomola,Water,Water,Ocean,20,20,20,20
Tynamo,Electric,Electric,Ocean,60,60,60,60
Eelektrik,Electric,Electric,Ocean,30,30,30,30
Skrelp (Scarlet),Poison,Water,Ocean,60,60,60,60
Dragalge (Scarlet),Poison,Water,Ocean,20,20,20,20
Clauncher (Violet),Water,Water,Ocean,60,60,60,60
Clawitzer (Violet),Water,Water,Ocean,20,20,20,20
Bergmite,Ice,Ice,Ocean,60,60,60,60
Avalugg,Ice,Ice,Ocean,20,20,20,20
Barraskewda,Water,Water,Ocean,20,20,20,20
Eiscue (Violet),Ice,Ice,Ocean,50,50,50,50
Finizen,Water,Water,Ocean,30,30,30,30
Kilowattrel,Electric,Flying,Ocean,30,30,30,30
