Name,Type1,Type2,Biome,Dawn,Day,Dusk,Night
Chansey,Normal,Normal,Prairie,1,1,1,1
Jumpluff,Grass,Flying,Prairie,30,30,30,30
Espeon,Psychic,Psychic,Prairie,1,1,1,0
Pawmo,Electric,Fighting,Prairie,10,10,10,10
Glalie,Ice,Ice,Snowfield,20,20,20,20
Bronzong,Steel,Psychic,Snowfield,20,20,20,20
Glaceon,Ice,Ice,Snowfield,1,1,1,1
Froslass,Ice,Ice,Snowfield,2,2,2,2
Beartic,Ice,Ice,Snowfield,20,20,20,20
Frosmoth,Ice,Bug,Snowfield,10,10,10,10
Houndstone,Ghost,Ghost,Snowfield,10,10,10,10
Cetitan,Ice,Ice,Snowfield,10,10,10,10
Golduck,Water,Water,Riverside,20,20,20,20
Vaporeon,Water,Water,Riverside,1,1,1,1
Floatzel,Water,Water,Riverside,10,10,10,10
Barraskewda,Water,Water,Riverside,20,20,20,20
Drakloak (Violet),Dragon,Ghost,Riverside,5,5,5,5
Bellibolt,Electric,Electric,Riverside,5,5,5,5
Flamigo,Flying,Fighting,Riverside,12,12,12,12
Cloyster,Water,Ice,Ocean,10,10,10,10
Gyarados,Water,Flying,Ocean,5,5,5,5
Floatzel,Water,Water,Ocean,40,40,40,40
Alomomola,Water,Water,Ocean,20,20,20,20
Skrelp (Scarlet),Poison,Water,Ocean,60,60,60,60
Dragalge (Scarlet),Poison,Water,Ocean,20,20,20,20
Clawitzer (Violet),Water,Water,Ocean,20,20,20,20
Barraskewda,Water,Water,Ocean,20,20,20,20
Eiscue (Violet),Ice,Ice,Ocean,50,50,50,50
Kilowattrel,Electric,Flying,Ocean,30,30,30,30
Hariyama,Fighting,Fighting,Rocky Area,15,15,15,15
Honchkrow,Dark,Flying,Rocky Area,0,0,20,20
Gogoat,Grass,Grass,Rocky Area,30,30,30,30
Hawlucha,Fighting,Flying,Rocky Area,60,60,60,60
Copperajah,Steel,Steel,Rocky Area,20,20,20,20
Lokix,Bug,Dark,Rocky Area,30,30,30,30
Naclstack,Rock,Rock,Rocky Area,60,60,60,60
Dugtrio,Ground,Ground,Cave,20,20,20,20
Umbreon,Dark,Dark,Cave,0,0,0,1
Hariyama,Fighting,Fighting,Cave,10,10,10,10
Sableye,Dark,Ghost,Cave,20,20,20,20
Gabite,Dragon,Ground,Cave,10,10,10,10
Deino (Scarlet),Dark,Dragon,Cave,30,30,30,30
Zweilous (Scarlet),Dark,Dragon,Cave,10,10,10,10
Salazzle,Poison,Fire,Cave,5,5,5,5
Glimmet,Rock,Poison,Cave,1,1,1,1
Floatzel,Water,Water,Beach,10,10,10,10
Pincurchin,Electric,Electric,Beach,10,10,10,10
Eiscue (Violet),Ice,Ice,Beach,40,40,40,40
Wugtrio,Water,Water,Beach,20,20,20,20
Kilowattrel,Electric,Flying,Beach,30,30,30,30
Naclstack,Rock,Rock,Beach,20,20,20,20
Chansey,Normal,Normal,Flower,1,1,1,1
Jumpluff,Grass,Flying,Flower,20,20,20,20
Sunflora,Grass,Grass,Flower,30,30,30,0
Blissey,Normal,Normal,Flower,1,1,1,1
Vespiquen,Bug,Flying,Flower,20,20,20,20
Lilligant,Grass,Grass,Flower,5,5,5,5
Vivillon,Bug,Flying,Flower,30,30,30,30
Floette,Fairy,Fairy,Flower,55,55,55,55
Floette,Fairy,Fairy,Flower,55,55,55,55
Floette,Fairy,Fairy,Flower,55,55,55,55
Floette,Fairy,Fairy,Flower,55,55,55,55
Floette,Fairy,Fairy,Flower,3,3,3,3
Florges,Fairy,Fairy,Flower,1,1,1,1
Florges,Fairy,Fairy,Flower,1,1,1,1
Florges,Fairy,Fairy,Flower,1,1,1,1
Florges,Fairy,Fairy,Flower,1,1,1,1
Florges,Fairy,Fairy,Flower,1,1,1,1
Dedenne,Electric,Fairy,Flower,10,10,10,10
Lurantis,Grass,Grass,Flower,30,30,30,30
