Name,Type1,Type2,Biome,Dawn,Day,Dusk,Night
Hoppip,Grass,Flying,Prairie,60,60,60,60
Fletchling,Normal,Flying,Prairie,60,60,60,60
Scatterbug,Bug,Bug,Prairie,60,60,60,60
Lechonk,Normal,Normal,Prairie,80,80,80,80
Tarountula,Bug,Bug,Prairie,50,50,50,50
Pawmi,Electric,Electric,Prairie,5,5,5,5
Magikarp,Water,Water,Ocean,60,60,60,60
Wingull,Water,Flying,Ocean,80,80,80,80
Buizel,Water,Water,Ocean,20,20,20,20
Arrokuda,Water,Water,Ocean,60,60,60,60
Wingull,Water,Flying,Beach,60,60,60,60
Buizel,Water,Water,Beach,20,20,20,20
