Name,Type1,Type2,Biome,Dawn,Day,Dusk,Night
Raichu,Electric,Electric,Forest,5,5,5,5
Jolteon,Electric,Electric,Forest,1,1,1,1
Sudowoodo,Rock,Rock,Forest,60,60,60,60
Forretress,Bug,Steel,Forest,20,20,20,20
Heracross,Bug,Fighting,Forest,30,30,30,30
Slaking,Normal,Normal,Forest,5,5,5,5
Honchkrow,Dark,Flying,Forest,0,0,20,20
Skuntank (Scarlet),Poison,Dark,Forest,20,20,20,20
Leafeon,Grass,Grass,Forest,1,1,1,1
Zoroark,Dark,Dark,Forest,10,10,10,10
Sawsbuck,Normal,Grass,Forest,50,50,50,50
Amoonguss,Grass,Poison,Forest,30,30,30,30
Lurantis,Grass,Grass,Forest,30,30,30,30
Spidops,Bug,Bug,Forest,30,30,30,30
Mabosstiff,Dark,Dark,Forest,20,20,20,20
Brambleghast,Grass,Ghost,Forest,1,1,1,1
Toedscool,Ground,Grass,Forest,150,150,150,150
Toedscruel,Ground,Grass,Forest,40,40,40,40
