Name,Type1,Type2,Biome,Dawn,Day,Dusk,Night
Shellder,Water,Water,Ocean,60,60,60,60
Magikarp,Water,Water,Ocean,60,60,60,60
Gyarados,Water,Flying,Ocean,5,5,5,5
Qwilfish,Water,Poison,Ocean,30,30,30,30
Wingull,Water,Flying,Ocean,80,80,80,80
Luvdisc,Water,Water,Ocean,60,60,60,60
Buizel,Water,Water,Ocean,20,20,20,20
Clauncher (Violet),Water,Water,Ocean,60,60,60,60
Bruxish,Water,Psychic,Ocean,30,30,30,30
Arrokuda,Water,Water,Ocean,60,60,60,60
Wattrel,Electric,Flying,Ocean,60,60,60,60
Finizen,Water,Water,Ocean,30,30,30,30
