Name,Type1,Type2,Biome,Dawn,Day,Dusk,Night
Hoppip,Grass,Flying,Prairie,60,60,60,60
Happiny,Normal,Normal,Prairie,1,1,1,1
Fletchling,Normal,Flying,Prairie,60,60,60,60
Scatterbug,Bug,Bug,Prairie,60,60,60,60
Lechonk,Normal,Normal,Prairie,80,80,80,80
Tarountula,Bug,Bug,Prairie,50,50,50,50
Pawmi,Electric,Electric,Prairie,5,5,5,5
Pachirisu,Electric,Electric,Prairie,10,10,10,10
Pichu,Electric,Electric,Forest,10,10,10,10
Bonsly,Rock,Rock,Forest,30,30,30,30
Bounsweet,Grass,Grass,Forest,60,60,60,60
Skwovet,Normal,Normal,Forest,50,50,50,50
Lechonk,Normal,Normal,Forest,60,60,60,60
Tarountula,Bug,Bug,Forest,60,60,60,60
Shroodle,Poison,Normal,Forest,20,20,20,20
Igglybuff,Normal,Fairy,Town,60,60,60,60
Ralts,Psychic,Fairy,Town,5,5,5,0
Fidough,Fairy,Fairy,Town,50,50,50,50
Psyduck,Water,Water,Lake,60,60,60,60
Magikarp,Water,Water,Lake,60,60,60,60
Wooper,Poison,Ground,Lake,60,60,60,60
Surskit,Bug,Water,Lake,60,60,60,60
Azurill,Normal,Fairy,Lake,60,60,60,60
Chewtle,Water,Water,Lake,10,10,10,10
Psyduck,Water,Water,Riverside,60,60,60,60
Magikarp,Water,Water,Riverside,20,20,20,20
Surskit,Bug,Water,Riverside,60,60,60,60
Azurill,Normal,Fairy,Riverside,60,60,60,60
Buizel,Water,Water,Riverside,20,20,20,20
Arrokuda,Water,Water,Riverside,40,40,40,40
Magikarp,Water,Water,Ocean,60,60,60,60
Wingull,Water,Flying,Ocean,80,80,80,80
Buizel,Water,Water,Ocean,20,20,20,20
Arrokuda,Water,Water,Ocean,60,60,60,60
Wingull,Water,Flying,Beach,60,60,60,60
Buizel,Water,Water,Beach,20,20,20,20
Sunkern,Grass,Grass,Flower,60,60,60,0
Combee,Bug,Flying,Flower,40,40,40,40
Happiny,Normal,Normal,Flower,2,2,2,2
Spewpa,Bug,Bug,Flower,30,30,30,30
Oricorio (Pom-Pom Style),Electric,Flying,Flower,20,20,20,20
Gastly,Ghost,Poison,Ruins,15,15,15,15
Drowzee,Psychic,Psychic,Ruins,40,40,40,40
