Name,Type1,Type2,Biome,Dawn,Day,Dusk,Night
Murkrow,Dark,Flying,Town,0,0,60,60
Banette,Ghost,Ghost,Town,0,0,0,70
Drifblim (Scarlet),Ghost,Flying,Town,0,0,20,20
Gothorita,Psychic,Psychic,Town,30,30,30,30
Gothitelle,Psychic,Psychic,Town,1,1,1,1
Sylveon,Fairy,Fairy,Town,1,1,1,1
Klefki,Steel,Fairy,Town,20,20,20,20
Sinistea,Ghost,Ghost,Town,30,30,30,30
Sinistea,Ghost,Ghost,Town,1,1,1,1
Dachsbun,Fairy,Fairy,Town,30,30,30,30
Bombirdier,Flying,Dark,Town,5,5,5,5
Chansey,Normal,Normal,Mountain,1,1,1,1
Flareon,Fire,Fire,Mountain,1,1,1,1
Flaaffy,Electric,Electric,Mountain,20,20,20,20
Ampharos,Electric,Electric,Mountain,10,10,10,10
Misdreavus (Violet),Ghost,Ghost,Mountain,0,0,0,15
Donphan,Ground,Ground,Mountain,10,10,10,10
Meditite,Fighting,Psychic,Mountain,60,60,60,60
Medicham,Fighting,Psychic,Mountain,20,20,20,20
Altaria,Dragon,Flying,Mountain,20,20,20,20
Drifblim (Scarlet),Ghost,Flying,Mountain,0,0,30,30
Honchkrow,Dark,Flying,Mountain,0,0,20,20
Gallade,Psychic,Fighting,Mountain,1,1,1,0
Rufflet,Normal,Flying,Mountain,25,25,25,25
Gogoat,Grass,Grass,Mountain,40,40,40,40
Lycanroc (Midday),Rock,Rock,Mountain,20,20,0,0
Lycanroc (Midnight),Rock,Rock,Mountain,0,0,0,20
Mudsdale,Ground,Ground,Mountain,12,12,12,12
Greedent,Normal,Normal,Mountain,20,20,20,20
Toxtricity,Electric,Poison,Mountain,15,15,15,15
Toxtricity,Electric,Poison,Mountain,15,15,15,15
Lokix,Bug,Dark,Mountain,20,20,20,20
Houndstone,Ghost,Ghost,Mountain,15,15,15,15
Flittle,Psychic,Psychic,Mountain,60,60,60,60
Espathra,Psychic,Psychic,Mountain,20,20,20,20
Scovillain,Grass,Fire,Mountain,10,10,10,10
Pawmo,Electric,Fighting,Mountain,15,15,15,15
Bombirdier,Flying,Dark,Mountain,10,10,10,10
Psyduck,Water,Water,Lake,60,60,60,60
Golduck,Water,Water,Lake,20,20,20,20
Magikarp,Water,Water,Lake,20,20,20,20
Vaporeon,Water,Water,Lake,1,1,1,1
Misdreavus (Violet),Ghost,Ghost,Lake,0,0,0,60
Whiscash,Water,Ground,Lake,10,10,10,10
Mismagius (Violet),Ghost,Ghost,Lake,0,0,0,3
Drednaw,Water,Rock,Lake,10,10,10,10
Dreepy (Violet),Dragon,Ghost,Lake,15,15,15,15
Clodsire,Poison,Ground,Lake,30,30,30,30
Psyduck,Water,Water,Riverside,60,60,60,60
Golduck,Water,Water,Riverside,20,20,20,20
Magikarp,Water,Water,Riverside,20,20,20,20
Vaporeon,Water,Water,Riverside,1,1,1,1
Dratini,Dragon,Dragon,Riverside,20,20,20,20
Floatzel,Water,Water,Riverside,10,10,10,10
Tynamo,Electric,Electric,Riverside,60,60,60,60
Eelektrik,Electric,Electric,Riverside,30,30,30,30
Drednaw,Water,Rock,Riverside,10,10,10,10
Barraskewda,Water,Water,Riverside,20,20,20,20
Dreepy (Violet),Dragon,Ghost,Riverside,0,0,0,5
Bellibolt,Electric,Electric,Riverside,5,5,5,5
Flamigo,Flying,Fighting,Riverside,12,12,12,12
Shellder,Water,Water,Ocean,60,60,60,60
Cloyster,Water,Ice,Ocean,10,10,10,10
Magikarp,Water,Water,Ocean,60,60,60,60
Gyarados,Water,Flying,Ocean,5,5,5,5
Qwilfish,Water,Poison,Ocean,30,30,30,30
Floatzel,Water,Water,Ocean,40,40,40,40
Tynamo,Electric,Electric,Ocean,60,60,60,60
Eelektrik,Electric,Electric,Ocean,30,30,30,30
Skrelp (Scarlet),Poison,Water,Ocean,60,60,60,60
Clauncher (Violet),Water,Water,Ocean,60,60,60,60
