Name,Type1,Type2,Biome,Dawn,Day,Dusk,Night
Mareep,Electric,Electric,Prairie,60,60,60,60
Hoppip,Grass,Flying,Prairie,60,60,60,60
Starly,Normal,Flying,Prairie,20,20,20,0
Happiny,Normal,Normal,Prairie,1,1,1,1
Fletchling,Normal,Flying,Prairie,60,60,60,60
Maschiff,Dark,Dark,Prairie,30,30,30,30
Pikachu,Electric,Electric,Forest,10,10,10,10
Pichu,Electric,Electric,Forest,10,10,10,10
Bonsly,Rock,Rock,Forest,30,30,30,30
Bounsweet,Grass,Grass,Forest,60,60,60,60
Skwovet,Normal,Normal,Forest,50,50,50,50
Applin,Grass,Dragon,Forest,10,10,10,10
Shroodle,Poison,Normal,Forest,20,20,20,20
Jigglypuff,Normal,Fairy,Town,60,60,60,60
Igglybuff,Normal,Fairy,Town,60,60,60,60
Fidough,Fairy,Fairy,Town,50,50,50,50
Gastly,Ghost,Poison,Mountain,0,0,0,50
Misdreavus (Violet),Ghost,Ghost,Mountain,0,0,0,15
Skiddo,Grass,Grass,Mountain,60,60,60,60
Rockruff (Standard),Rock,Rock,Mountain,40,40,40,40
Rockruff (Own Tempo),Rock,Rock,Mountain,2,2,2,2
Psyduck,Water,Water,Riverside,60,60,60,60
Magikarp,Water,Water,Riverside,20,20,20,20
Azurill,Normal,Fairy,Riverside,60,60,60,60
Buizel,Water,Water,Riverside,20,20,20,20
Chewtle,Water,Water,Riverside,10,10,10,10
Arrokuda,Water,Water,Riverside,40,40,40,40
Tadbulb,Electric,Electric,Riverside,50,50,50,50
Makuhita,Fighting,Fighting,Rocky Area,30,30,30,30
Yungoos,Normal,Normal,Rocky Area,20,20,20,20
Nacli,Rock,Rock,Rocky Area,60,60,60,60
Sunkern,Grass,Grass,Flower,60,60,60,0
Combee,Bug,Flying,Flower,40,40,40,40
Happiny,Normal,Normal,Flower,1,1,1,1
Flabebe,Fairy,Fairy,Flower,60,60,60,60
Flabebe,Fairy,Fairy,Flower,60,60,60,60
Flabebe,Fairy,Fairy,Flower,60,60,60,60
Flabebe,Fairy,Fairy,Flower,60,60,60,60
Flabebe,Fairy,Fairy,Flower,6,6,6,6
Diglett,Ground,Ground,Olive,50,50,50,50
Eevee,Normal,Normal,Olive,5,5,5,5
Mareep,Electric,Electric,Olive,30,30,30,30
Starly,Normal,Flying,Olive,30,30,30,0
Kricketot,Bug,Bug,Olive,30,30,30,30
Combee,Bug,Flying,Olive,30,30,30,30
Skwovet,Normal,Normal,Olive,30,30,30,30
Smoliv,Grass,Normal,Olive,100,100,100,100
Gastly,Ghost,Poison,Ruins,15,15,15,15
Drowzee,Psychic,Psychic,Ruins,40,40,40,40
Bronzor,Steel,Psychic,Ruins,60,60,60,60
Maschiff,Dark,Dark,Ruins,50,50,50,50
Tinkatink,Fairy,Steel,Ruins,15,15,15,15
